Time,Voltage,Controller
0,465,0
200,465,0
401,465,0
602,465,0
802,465,0
1002,465,0
1203,464,0
1403,465,0
1604,465,0
1805,465,0
2006,465,0
2206,465,0
2407,465,0
2608,465,0
2808,465,0
3009,465,0
3210,467,0
3410,465,0
3611,467,0
3812,465,1
4013,465,0
4213,465,0
4414,465,0
4615,465,0
4815,465,0
5016,465,0
5217,465,100
5417,465,642
5618,465,1022
5819,466,1023
6021,467,1023
6221,466,1023
6422,466,1023
6623,468,1023
6823,467,1021
7024,467,1023
7225,467,1023
7426,467,1023
7626,468,1022
7828,468,1023
8029,467,1023
8229,469,1022
8430,469,1023
8631,469,1023
8832,469,1023
9032,470,1022
9233,470,1023
9434,470,1023
9635,471,1023
9836,471,1023
10037,471,1023
10237,471,1023
10438,472,1023
10639,471,1023
10840,472,1023
11041,472,1023
11242,473,1023
11443,473,1022
11643,473,1023
11844,474,1023
12045,474,1023
12247,476,1022
12447,475,1022
12648,475,1022
12849,475,1023
13049,475,1022
13250,478,1023
13451,476,1023
13652,476,1022
13853,476,1023
14054,477,1021
14255,478,1023
14455,478,1023
14656,478,1023
14858,477,1023
15058,479,1023
15259,478,1023
15460,479,1023
15661,479,1023
15861,479,1023
16063,480,1023
16264,480,1021
16464,480,1022
16665,483,1023
16866,481,1023
17067,484,1023
17267,481,1023
17469,482,1023
17670,482,1023
17870,483,1023
18071,483,1023
18272,483,1021
18472,483,1023
18674,484,1023
18875,484,1019
19076,486,1023
19276,484,1023
19477,485,1023
19678,485,1023
19878,485,1023
20080,485,1023
20281,486,1023
20482,486,1023
20682,486,1022
20883,487,1023
21084,487,1023
21285,487,1022
21486,487,1021
21687,487,1023
21888,488,1023
22088,487,1023
22289,487,1023
22490,488,1023
22691,490,1023
22892,489,1023
23093,489,1023
23293,489,1022
23494,489,1023
23695,490,1023
23897,490,1023
24097,490,1022
24298,490,1022
24499,490,1023
24699,491,1023
24900,490,1023
25102,491,1023
25303,491,1023
25503,490,1023
25704,492,1023
25905,492,1023
26105,492,1021
26306,492,1023
26508,492,1023
26708,493,1023
26909,492,1023
27110,493,1023
27311,493,1021
27511,492,1023
27713,494,1023
27914,493,1023
28114,493,1023
28315,494,1023
28516,494,1023
28717,494,1022
28918,496,1023
29119,494,1023
29320,495,1023
29520,495,1023
29721,495,1022
29922,495,1023
30123,497,1023
30324,495,1023
30525,495,1023
30726,495,1023
30926,496,1023
31127,496,1022
31328,496,1021
31529,496,1023
31730,497,1022
31931,497,1023
32132,497,1023
32332,497,1021
32533,497,1021
32734,497,1023
32935,497,1023
33136,497,1023
33337,498,1023
33538,498,1023
33738,498,1023
33939,498,1023
34141,498,1023
34341,497,1023
34542,499,1023
34743,499,1023
34944,499,1023
35144,499,1021
35346,499,1023
35547,499,1021
35747,499,1022
35948,498,1023
36149,500,1023
36349,500,1023
36550,499,1023
36752,500,1023
36953,500,1023
37153,500,1023
37354,500,1022
37555,500,1023
37755,500,1022
37957,500,1023
38158,501,1023
38359,501,1022
38559,500,1023
38760,503,1023
38961,501,1023
39162,501,1023
39363,501,1021
39564,501,1023
39764,501,1023
39965,501,1022
40166,501,1023
40367,501,1023
40568,501,1023
40769,500,1023
40970,502,1023
41170,501,1023
41371,503,1023
41572,502,1023
41774,502,1023
41974,502,1023
42175,501,1023
42376,502,1023
42576,502,1023
42777,502,1021
42979,502,1022
43180,504,1023
43380,503,1023
43581,504,1021
43782,503,1022
43982,502,1023
44183,503,1023
44385,503,1023
44585,503,1023
44786,503,1023
44987,503,1022
45188,503,1023
45388,503,1023
45590,504,1022
45791,503,1022
45991,504,1022
46192,502,1023
46393,504,1023
46594,504,1023
46795,504,1023
46996,504,1022
47197,504,1023
47397,504,1023
47598,504,1023
47799,504,1023
48000,504,1023
48201,504,1022
48402,504,1022
48603,505,1023
48803,505,1023
49004,505,1023
49205,505,1023
49406,505,1023
49607,505,1023
49808,504,1023
50009,505,1023
50209,505,1023
50410,505,1023
50612,505,1023
50812,505,1023
51013,505,1022
51214,505,1023
51415,505,1023
51615,505,1023
51816,505,1023
52018,505,1022
52218,506,1023
52419,505,1023
52620,505,1023
52820,505,1023
53021,505,1023
53223,506,1023
53424,506,1023
53624,506,1021
53825,506,1023
54026,508,1023
54226,506,1023
54428,506,1023
54629,506,1023
54830,506,1023
55030,506,1023
55231,506,1023
55432,506,1023
55632,506,1023
55834,507,1023
56035,507,1023
56236,507,1023
56436,507,1023
56637,507,1023
56838,506,1023
57039,507,1022
57240,507,1023
57441,507,1023
57641,507,1023
57842,507,1023
58043,507,1023
58245,507,1023
58445,507,1023
58646,507,1023
