Time,Voltage
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1015
18,1015
19,1015
20,1019
21,1016
22,0
23,0
24,0
25,0
26,0
27,1016
28,1016
29,1014
30,1016
31,1016
32,0
33,0
34,0
35,0
36,0
37,1015
38,1019
39,1014
40,1017
41,1015
42,0
43,0
44,0
45,0
46,0
47,1017
48,1015
49,1017
50,1016
51,0
52,0
53,0
54,0
55,0
56,1013
57,1014
58,1016
59,1015
60,1017
61,0
62,0
63,0
64,0
65,0
66,1016
67,1016
68,1017
69,1016
70,1016
71,0
72,0
73,0
74,0
75,0
76,1013
77,1016
78,1015
79,1015
80,1015
81,0
82,0
83,0
84,0
85,0
86,1013
87,1016
88,1015
89,1017
90,1017
91,0
92,0
93,0
94,0
95,0
96,1014
97,1017
98,1016
99,1015
100,1017
101,0
102,0
103,1
104,0
105,0
106,1015
107,1014
108,1016
109,1016
110,1018
111,0
112,0
113,0
114,0
115,0
116,1014
117,1020
118,1014
119,1017
120,1016
121,1
122,0
123,0
124,0
125,1
126,1016
127,1016
128,1015
129,1019
130,1016
131,0
132,0
133,2
134,0
135,0
136,1015
137,1016
138,1017
139,1015
140,1014
141,0
142,0
143,0
144,0
145,0
146,1016
147,1016
148,1015
149,1015
150,1016
151,0
152,0
153,0
154,0
155,0
156,1015
157,1014
158,1014
159,1016
160,1017
161,0
162,0
163,0
164,0
165,0
166,1017
167,1015
168,1016
169,1016
170,1015
171,0
172,0
173,0
174,0
175,0
176,1014
177,1014
178,1015
179,1014
180,1014
181,0
182,0
183,0
184,0
185,0
186,1015
187,1016
188,1017
189,1015
190,1017
191,0
192,0
193,0
194,0
195,0
196,1015
197,1016
198,1014
199,1013
200,1015
201,0
202,0
203,0
204,0
205,0
206,1015
207,1015
208,1016
209,1015
210,1016
211,0
212,0
213,0
214,0
215,0
216,1016
217,1016
218,1016
219,1017
220,1015
221,0
222,0
223,0
224,0
225,0
226,1017
227,1015
228,1017
229,1017
230,1016
231,0
232,0
233,0
234,0
235,0
236,1016
237,1016
238,1016
239,1014
240,1016
241,0
242,0
243,0
244,0
245,0
246,1015
247,1016
248,1017
249,1015
