Time,Voltage
100,5
200,8
301,11
401,14
501,17
602,19
702,22
802,25
903,28
1003,27
1103,27
1204,27
1304,27
1404,28
1505,28
1605,28
1705,28
1807,28
1907,28
2008,29
2108,29
2208,28
2309,28
2409,28
2509,28
2610,28
2710,28
2810,28
2911,28
3012,28
3112,28
3213,28
3313,28
3414,28
3514,28
3614,28
3715,28
3815,28
3915,28
4016,28
4117,28
4217,28
4318,27
4418,27
4518,28
4619,28
4719,28
4819,28
4920,28
5020,28
5121,28
5221,28
5322,28
5423,29
5523,28
5623,29
5724,29
5824,28
5924,28
6025,28
6125,28
6225,29
6326,28
6426,28
6528,29
6628,28
6728,28
6829,29
6929,29
7029,28
7130,29
7230,28
7330,28
7431,28
7531,28
7631,28
7733,28
7833,28
7933,28
8034,28
8134,28
8235,28
8335,28
8435,28
8536,28
8636,28
8736,28
8837,28
8938,28
9038,28
9139,28
9239,28
9339,28
9440,28
9540,28
9640,28
9741,28
9841,28
9942,28
10043,28
10143,28
10244,28
10344,28
10444,28
10545,28
10645,28
10745,28
10847,28
10947,28
11047,28
11148,27
