Time,Voltage
2008,34
2108,34
2208,34
2309,34
2409,34
2509,34
2610,35
2710,35
2810,35
2912,35
3012,35
3112,35
3213,35
3313,35
3414,35
3514,35
3614,35
3715,34
3815,34
3915,34
4016,34
4117,34
4217,34
4318,34
4418,34
4518,35
4619,35
4719,35
4819,35
4920,34
5020,34
5121,34
5221,34
5322,34
5423,34
5523,34
5623,34
5724,34
5824,34
5924,34
6025,34
6125,34
6225,34
6326,34
6426,35
6528,35
6628,35
6728,35
6829,35
6929,35
7029,35
7130,35
7230,35
7330,35
7431,35
7531,35
7632,35
7733,35
7833,35
7933,34
8034,34
8134,34
8235,34
8335,34
8435,35
8536,34
8636,35
8736,35
8838,35
8938,35
9038,35
9139,35
9239,35
9339,35
9440,35
9540,35
9640,35
9741,35
9841,35
9942,35
10043,35
10143,35
10244,35
10344,35
10444,35
10545,35
10645,35
10745,35
10847,35
10947,35
11047,35
11148,35
11248,34
