Time,Voltage
0,0
100,0
200,1
301,1
401,1
501,2
602,2
702,2
802,3
903,3
1003,3
1103,3
1204,3
1304,3
1404,3
1505,3
1605,4
1705,4
1806,4
1906,3
2007,4
2107,4
2207,4
2308,4
2408,4
2508,4
2609,4
2709,4
2809,4
2910,4
3010,4
3111,4
3212,4
3312,4
3412,3
3513,3
3613,3
3714,3
3814,3
3914,3
4015,3
4115,3
4215,3
4316,3
4416,3
4516,3
4617,3
4717,3
4817,4
4918,4
5018,4
5118,4
5219,4
5319,3
5420,3
5521,4
5621,4
5722,4
5822,4
5922,4
6023,4
6123,4
6223,4
6324,4
6424,4
6524,4
6625,4
6725,4
6825,4
6926,4
7026,3
7127,3
7227,4
7327,3
7428,3
7528,3
7628,3
7729,4
7829,3
7930,4
8031,4
8131,4
8231,4
8332,3
8432,3
8532,3
8633,4
8733,4
8834,3
8934,3
9034,3
9135,3
9235,3
9335,4
9436,4
9536,4
9636,4
9737,3
9837,4
9937,4
10038,4
10138,4
10240,3
10340,3
10440,3
10541,3
10641,3
10741,3
10842,3
10942,3
