Time,Voltage
0,10
100,21
200,32
301,43
401,54
501,65
602,76
702,86
802,97
903,108
1003,108
1103,108
1204,108
1304,108
1405,108
1506,108
1606,107
1707,107
1807,108
1907,107
2008,107
2108,107
2209,107
2310,107
2410,107
2510,107
2611,108
2711,108
2811,108
2913,108
3013,108
3113,108
3214,108
3314,108
3415,108
3515,108
3615,108
3717,108
3817,108
3917,108
4018,107
4118,107
4218,107
4319,108
4419,107
4520,107
4621,107
4721,107
4822,107
4922,107
5022,107
5123,107
5224,107
5324,107
5425,107
5525,107
5625,107
5726,107
5826,107
5926,107
6028,107
6128,107
6228,107
6329,107
6429,107
6530,107
6630,108
6730,107
6832,107
6932,107
7032,107
7133,107
7233,107
7333,107
7434,107
7535,107
7635,107
7736,107
7836,107
7937,107
8037,108
8137,107
8238,107
8339,107
8439,107
8540,107
8640,107
8740,107
8841,107
8941,107
9041,107
9143,107
9243,107
9344,107
9444,107
9544,107
9645,107
9745,107
9846,107
9947,107
10047,107
10147,107
10248,107
10348,107
10448,107
10550,107
10650,107
