Time,Voltage
0,17
100,33
200,50
301,67
401,84
501,101
602,118
702,135
802,151
903,168
1003,168
1103,168
1204,168
1305,168
1405,168
1506,168
1606,168
1707,168
1807,168
1907,168
2009,168
2109,168
2209,168
2310,168
2410,168
2510,167
2611,168
2711,167
2812,168
2913,168
3013,168
3113,168
3214,168
3314,168
3415,168
3515,168
3616,168
3717,168
3817,168
3917,168
4018,168
4118,168
4218,168
4319,168
4420,168
4520,168
4621,167
4721,167
4822,167
4922,167
5022,167
5124,167
5224,167
5324,167
5425,167
5525,167
5625,167
5726,167
5826,167
5927,167
6028,167
6128,167
6228,167
6329,167
6429,167
6530,167
6630,167
6731,167
6832,167
6932,167
7032,167
7133,167
7233,167
7333,167
7434,167
7535,167
7635,167
7736,167
7836,167
7937,167
8037,167
8137,167
8239,167
8339,167
8439,167
8540,167
8640,167
8740,167
8841,167
8941,167
9042,167
9143,167
9243,167
9344,167
9444,167
9544,167
9645,167
9745,167
9846,167
9947,167
10047,167
10147,167
10248,167
10348,167
10449,167
