Time,Voltage
0,26
100,52
200,79
301,105
401,131
501,158
602,184
702,211
802,237
903,263
1003,263
1103,263
1205,263
1305,263
1405,263
1506,263
1606,263
1707,263
1807,263
1907,263
2009,263
2109,263
2209,263
2310,263
2410,263
2510,263
2611,263
2712,263
2812,263
2913,263
3013,263
3113,263
3214,263
3314,263
3415,263
3516,263
3616,263
3717,263
3817,263
3917,263
4018,263
4118,263
4218,263
4320,263
4420,263
4520,263
4621,263
4721,263
4822,263
4922,263
5023,263
5124,263
5224,263
5324,263
5425,263
5525,263
5625,263
5726,263
5827,263
5927,263
6028,263
6128,263
6228,263
6329,263
6429,263
6530,263
6631,263
6731,263
6832,263
6932,263
7032,263
7133,263
7233,263
7334,263
7435,263
7535,263
7635,263
7736,263
7836,263
7937,263
8037,263
8138,263
8239,263
8339,263
8439,263
8540,263
8640,263
8740,263
8841,263
8942,263
9042,263
9143,263
9243,263
9344,263
9444,263
9544,263
9646,263
9746,263
9846,263
9947,263
10047,263
10147,263
10248,263
10349,263
10449,263
10550,263
