Time,Voltage
0,28
100,56
200,84
301,113
401,141
501,169
602,198
702,226
802,254
903,282
1003,282
1103,282
1205,282
1305,282
1405,282
1506,282
1606,282
1707,282
1807,282
1907,282
2009,282
2109,282
2209,282
2310,282
2410,282
2510,282
2611,282
2712,282
2812,282
2913,282
3013,282
3113,282
3214,282
3314,282
3415,282
3516,282
3616,282
3717,282
3817,282
3917,282
4018,282
4118,282
4218,282
4320,282
4420,282
4520,282
4621,282
4721,282
4822,282
4922,282
5023,282
5124,282
5224,282
5324,282
5425,282
5525,282
5625,282
5726,282
5827,281
5927,281
6028,282
6128,282
6228,282
6329,282
6429,282
6530,282
6631,282
6731,282
6832,282
6932,282
7032,282
7133,281
7233,281
7334,281
7435,282
7535,282
7635,282
7736,282
7836,281
7937,281
8037,282
8138,282
8239,282
8339,282
8439,282
8540,282
8640,281
8740,282
8841,282
8942,282
9042,282
9143,282
9243,282
9344,282
9444,282
9544,282
9646,282
9746,282
9846,282
9947,282
