Time,Voltage
0,9
100,18
200,27
301,36
401,45
501,54
602,62
702,71
802,80
903,89
1003,89
1103,89
1204,89
1304,89
1404,89
1505,89
1605,89
1707,88
1807,89
1907,89
2008,89
2108,89
2208,89
2309,89
2409,89
2509,89
2610,89
2710,90
2811,90
2912,90
3012,90
3112,90
3213,90
3313,90
3414,90
3514,90
3614,90
3715,90
3815,90
3915,90
4017,90
4117,89
4217,90
4318,90
4418,90
4518,90
4619,90
4719,90
4819,90
4920,89
5020,89
5121,89
5222,89
5322,90
5423,89
5523,89
5623,89
5724,89
5824,89
5924,89
6025,89
6125,89
6225,89
6326,89
6427,89
6528,89
6628,89
6728,89
6829,89
6929,89
7029,89
7130,89
7230,89
7330,89
7431,89
7531,89
7632,89
7733,89
7833,89
7933,89
8034,89
8134,89
8235,89
8335,88
8435,88
8536,88
8636,88
8736,89
8838,89
8938,89
9038,89
9139,89
9239,89
9339,89
9440,89
9540,89
9640,89
9741,89
9841,89
9943,89
10043,89
10143,89
10244,89
10344,89
10444,89
10545,89
10645,89
