Time,Voltage
0,12
100,25
200,37
301,50
401,62
501,75
602,87
702,100
802,112
903,125
1003,124
1103,124
1204,124
1305,124
1405,124
1506,124
1606,124
1707,124
1807,125
1907,125
2008,124
2109,125
2209,125
2310,125
2410,125
2510,125
2611,125
2711,125
2811,125
2913,125
3013,125
3113,125
3214,125
3314,125
3415,125
3515,125
3616,125
3717,125
3817,125
3917,125
4018,125
4118,125
4218,125
4319,125
4420,126
4520,126
4621,126
4721,126
4822,126
4922,126
5022,126
5123,126
5224,126
5324,126
5425,126
5525,126
5625,126
5726,126
5826,126
5927,126
6028,126
6128,126
6228,126
6329,125
6429,125
6530,125
6630,125
6731,125
6832,125
6932,125
7032,125
7133,125
7233,125
7333,125
7434,125
7535,125
7635,125
7736,125
7836,125
7937,125
8037,126
8137,126
8239,125
8339,125
8439,126
8540,126
8640,126
8740,126
8841,126
8941,126
9042,126
9143,126
9243,126
9344,126
9444,126
9544,126
9645,126
9746,125
9846,125
9947,125
10047,125
10147,125
10248,125
10348,125
10449,125
10550,125
10650,125
10750,125
10851,125
10951,125
