"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0.00,,,,,0.000,0.000,,,0.0000,,,0.000,,,0.0000,,
3.772,0.03,0.05,4.09E-4,0.02,,,0.050,0.000,-0.031,,0.0000,-7.500E-4,,0.003,0.031,,7.5000E-5,7.500E-4,
4.338,0.03,0.07,0.00,0.03,0.00,0.00,0.100,-0.003,-0.052,-0.314,-7.5000E-5,-0.001,-0.007,0.003,0.010,-0.314,7.5000E-5,2.500E-4,-0.007
6.473,0.04,0.13,0.00,0.03,-1.63E-4,0.00,0.150,-0.006,-0.063,-0.244,-1.5000E-4,-0.001,-0.006,0.003,0.000,-0.035,7.5000E-5,0.000,-8.333E-4
6.940,0.04,0.15,0.00,0.04,0.00,-3.24E-5,0.200,-0.009,-0.073,-0.209,-2.2500E-4,-0.002,-0.005,0.003,0.010,0.105,7.5000E-5,2.500E-4,0.002
7.873,0.04,0.18,0.00,0.03,0.00,0.00,0.250,-0.013,-0.084,-0.209,-3.0000E-4,-0.002,-0.005,0.003,0.021,0.070,7.5000E-5,5.000E-4,0.002
9.142,0.03,0.22,0.00,0.04,0.00,0.02,0.300,-0.019,-0.094,-0.209,-4.5000E-4,-0.002,-0.005,0.006,0.021,-0.070,1.5000E-4,5.000E-4,-0.002
9.775,0.03,0.27,0.00,0.07,0.01,0.01,0.350,-0.022,-0.105,-0.140,-5.2500E-4,-0.002,-0.003,0.006,0.010,-0.140,1.5000E-4,2.500E-4,-0.003
10.008,0.04,0.28,0.00,0.05,,,0.400,-0.028,-0.115,0.140,-6.7500E-4,-0.003,0.003,0.006,0.000,-0.105,1.5000E-4,0.000,-0.002
12.442,0.04,0.41,,,,,0.450,-0.035,-0.105,0.628,-8.2500E-4,-0.002,0.015,0.006,0.000,-0.035,1.5000E-4,0.000,-8.333E-4
,,,,,,,0.500,-0.041,-0.052,1.047,-9.7500E-4,-0.001,0.025,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,0.550,-0.041,0.021,1.082,-9.7500E-4,5.000E-4,0.026,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,0.600,-0.038,0.073,0.768,-9.0000E-4,0.002,0.018,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,0.650,-0.031,0.094,0.384,-7.5000E-4,0.002,0.009,0.006,0.000,0.000,1.5000E-4,0.000,0.000
