Time (s) Run #1,"x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1",Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0,,,,,0,0,,,0,,,0,,,0,,
3.772,0.03,0.05,4.09E-04,0.02,,,0.05,0,-0.031,,0,-7.50E-04,,0.003,0.031,,7.50E-05,7.50E-04,
4.338,0.03,0.07,0,0.03,0,0,0.1,-0.003,-0.052,-0.314,-7.50E-05,-0.001,-0.007,0.003,0.01,-0.314,7.50E-05,2.50E-04,-0.007
6.473,0.04,0.13,0,0.03,-1.63E-04,0,0.15,-0.006,-0.063,-0.244,-1.50E-04,-0.001,-0.006,0.003,0,-0.035,7.50E-05,0,-8.33E-04
6.94,0.04,0.15,0,0.04,0,-3.24E-05,0.2,-0.009,-0.073,-0.209,-2.25E-04,-0.002,-0.005,0.003,0.01,0.105,7.50E-05,2.50E-04,0.002
7.873,0.04,0.18,0,0.03,0,0,0.25,-0.013,-0.084,-0.209,-3.00E-04,-0.002,-0.005,0.003,0.021,0.07,7.50E-05,5.00E-04,0.002
9.142,0.03,0.22,0,0.04,0,0.02,0.3,-0.019,-0.094,-0.209,-4.50E-04,-0.002,-0.005,0.006,0.021,-0.07,1.50E-04,5.00E-04,-0.002
9.775,0.03,0.27,0,0.07,0.01,0.01,0.35,-0.022,-0.105,-0.14,-5.25E-04,-0.002,-0.003,0.006,0.01,-0.14,1.50E-04,2.50E-04,-0.003
10.008,0.04,0.28,0,0.05,,,0.4,-0.028,-0.115,0.14,-6.75E-04,-0.003,0.003,0.006,0,-0.105,1.50E-04,0,-0.002
12.442,0.04,0.41,,,,,0.45,-0.035,-0.105,0.628,-8.25E-04,-0.002,0.015,0.006,0,-0.035,1.50E-04,0,-8.33E-04
,,,,,,,0.5,-0.041,-0.052,1.047,-9.75E-04,-0.001,0.025,0.006,0,0,1.50E-04,0,0
,,,,,,,0.55,-0.041,0.021,1.082,-9.75E-04,5.00E-04,0.026,0.006,0,0,1.50E-04,0,0
,,,,,,,0.6,-0.038,0.073,0.768,-9.00E-04,0.002,0.018,0.006,0,0,1.50E-04,0,0
,,,,,,,0.65,-0.031,0.094,0.384,-7.50E-04,0.002,0.009,0.006,0,0,1.50E-04,0,0
,,,,,,,0.7,-0.028,0.105,0.14,-6.75E-04,0.002,0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,0.75,-0.022,0.105,0.035,-5.25E-04,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,0.8,-0.016,0.105,0.035,-3.75E-04,0.002,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,0.85,-0.013,0.105,0.105,-3.00E-04,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,0.9,-0.006,0.115,0.105,-1.50E-04,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,0.95,-1.74E-18,0.126,0,-4.14E-20,0.003,0,0.006,0,0,1.50E-04,0,0
,,,,,,,1,0.006,0.115,-0.105,1.50E-04,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.05,0.013,0.105,-0.07,3.00E-04,0.002,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.1,0.016,0.105,0.07,3.75E-04,0.002,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.15,0.022,0.115,0.14,5.25E-04,0.003,0.003,0.006,0,0,1.50E-04,0,0
,,,,,,,1.2,0.028,0.126,0.105,6.75E-04,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.25,0.035,0.126,0.035,8.25E-04,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.3,0.041,0.126,-5.55E-16,9.75E-04,0.003,-1.30E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.35,0.047,0.126,-2.78E-16,0.0011,0.003,0,0.006,0,0,1.50E-04,0,0
,,,,,,,1.4,0.053,0.126,0,0.0013,0.003,1.30E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.45,0.06,0.126,-0.035,0.0014,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.5,0.066,0.126,-0.07,0.0016,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.55,0.072,0.115,-0.07,0.0017,0.003,-0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.6,0.079,0.115,-0.035,0.0019,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.65,0.082,0.115,4.16E-16,0.0019,0.003,1.74E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.7,0.091,0.115,5.55E-16,0.0022,0.003,4.77E-17,0.006,0,0,1.50E-04,0,0
,,,,,,,1.75,0.094,0.115,0.035,0.0022,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.8,0.101,0.115,0.07,0.0024,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.85,0.107,0.126,0.07,0.0025,0.003,0.002,0.006,0,0,1.50E-04,0,0
,,,,,,,1.9,0.113,0.126,0.035,0.0027,0.003,8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,1.95,0.119,0.126,-0.035,0.0028,0.003,-8.33E-04,0.006,0,0,1.50E-04,0,0
,,,,,,,2,0.126,0.126,-0.105,0.003,0.003,-0.002,0.006,0,0,1.50E-04,0,0
