Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0.05,0,0.003,,,,,,,,,,,,,,,,,
0.1,-0.003,0.003,,,,,,,,,,,,,,,,,
0.15,-0.006,0.003,,,,,,,,,,,,,,,,,
0.2,-0.009,0.003,,,,,,,,,,,,,,,,,
0.25,-0.013,0.003,,,,,,,,,,,,,,,,,
0.3,-0.019,0.006,,,,,,,,,,,,,,,,,
0.35,-0.022,0.006,,,,,,,,,,,,,,,,,
0.4,-0.028,0.006,,,,,,,,,,,,,,,,,
0.45,-0.035,0.006,,,,,,,,,,,,,,,,,
0.5,-0.041,0.006,,,,,,,,,,,,,,,,,
0.55,-0.041,0.006,,,,,,,,,,,,,,,,,
0.6,-0.038,0.006,,,,,,,,,,,,,,,,,
0.65,-0.031,0.006,,,,,,,,,,,,,,,,,
0.7,-0.028,0.006,,,,,,,,,,,,,,,,,
0.75,-0.022,0.006,,,,,,,,,,,,,,,,,
0.8,-0.016,0.006,,,,,,,,,,,,,,,,,
0.85,-0.013,0.006,,,,,,,,,,,,,,,,,
0.9,-0.006,0.006,,,,,,,,,,,,,,,,,
0.95,-1.74E-18,0.006,,,,,,,,,,,,,,,,,
1,0.006,0.006,,,,,,,,,,,,,,,,,
1.05,0.013,0.006,,,,,,,,,,,,,,,,,
1.1,0.016,0.006,,,,,,,,,,,,,,,,,
1.15,0.022,0.006,,,,,,,,,,,,,,,,,
1.2,0.028,0.006,,,,,,,,,,,,,,,,,
1.25,0.035,0.006,,,,,,,,,,,,,,,,,
1.3,0.041,0.006,,,,,,,,,,,,,,,,,
1.35,0.047,0.006,,,,,,,,,,,,,,,,,
1.4,0.053,0.006,,,,,,,,,,,,,,,,,
1.45,0.06,0.006,,,,,,,,,,,,,,,,,
1.5,0.066,0.006,,,,,,,,,,,,,,,,,
1.55,0.072,0.006,,,,,,,,,,,,,,,,,
1.6,0.079,0.006,,,,,,,,,,,,,,,,,
1.65,0.082,0.006,,,,,,,,,,,,,,,,,
1.7,0.091,0.006,,,,,,,,,,,,,,,,,
1.75,0.094,0.006,,,,,,,,,,,,,,,,,
1.8,0.101,0.006,,,,,,,,,,,,,,,,,
1.85,0.107,0.006,,,,,,,,,,,,,,,,,
1.9,0.113,0.006,,,,,,,,,,,,,,,,,
1.95,0.119,0.006,,,,,,,,,,,,,,,,,
2,0.126,0.006,,,,,,,,,,,,,,,,,
2.05,0.132,0.006,,,,,,,,,,,,,,,,,
2.1,0.138,0.006,,,,,,,,,,,,,,,,,
2.15,0.141,0.006,,,,,,,,,,,,,,,,,
2.2,0.148,0.006,,,,,,,,,,,,,,,,,
2.25,0.154,0.006,,,,,,,,,,,,,,,,,
2.3,0.157,0.006,,,,,,,,,,,,,,,,,
2.35,0.167,0.006,,,,,,,,,,,,,,,,,
2.4,0.17,0.006,,,,,,,,,,,,,,,,,
2.45,0.176,0.006,,,,,,,,,,,,,,,,,
2.5,0.182,0.006,,,,,,,,,,,,,,,,,
2.55,0.185,0.006,,,,,,,,,,,,,,,,,
2.6,0.192,0.006,,,,,,,,,,,,,,,,,
2.65,0.198,0.006,,,,,,,,,,,,,,,,,
2.7,0.204,0.006,,,,,,,,,,,,,,,,,
2.75,0.21,0.006,,,,,,,,,,,,,,,,,
2.8,0.214,0.006,,,,,,,,,,,,,,,,,
2.85,0.22,0.006,,,,,,,,,,,,,,,,,
2.9,0.226,0.006,,,,,,,,,,,,,,,,,
2.95,0.232,0.006,,,,,,,,,,,,,,,,,
3,0.236,0.006,,,,,,,,,,,,,,,,,
3.05,0.242,0.006,,,,,,,,,,,,,,,,,
3.1,0.248,0.006,,,,,,,,,,,,,,,,,
3.15,0.251,0.006,,,,,,,,,,,,,,,,,
3.2,0.258,0.006,,,,,,,,,,,,,,,,,
3.25,0.261,0.006,,,,,,,,,,,,,,,,,
3.3,0.267,0.006,,,,,,,,,,,,,,,,,
3.35,0.27,0.006,,,,,,,,,,,,,,,,,
3.4,0.276,0.006,,,,,,,,,,,,,,,,,
3.45,0.283,0.006,,,,,,,,,,,,,,,,,
3.5,0.286,0.006,,,,,,,,,,,,,,,,,
3.55,0.292,0.006,,,,,,,,,,,,,,,,,
3.6,0.295,0.006,,,,,,,,,,,,,,,,,
3.65,0.302,0.006,,,,,,,,,,,,,,,,,
3.7,0.305,0.006,,,,,,,,,,,,,,,,,
3.75,0.311,0.006,,,,,,,,,,,,,,,,,
3.8,0.314,0.006,,,,,,,,,,,,,,,,,
3.85,0.317,0.006,,,,,,,,,,,,,,,,,
3.9,0.324,0.006,,,,,,,,,,,,,,,,,
3.95,0.327,0.006,,,,,,,,,,,,,,,,,
4,0.33,0.006,,,,,,,,,,,,,,,,,
4.05,0.333,0.006,,,,,,,,,,,,,,,,,
4.1,0.336,0.006,,,,,,,,,,,,,,,,,
4.15,0.339,0.006,,,,,,,,,,,,,,,,,
4.2,0.342,0.006,,,,,,,,,,,,,,,,,
4.25,0.342,0.006,,,,,,,,,,,,,,,,,
4.3,0.342,0.003,,,,,,,,,,,,,,,,,
4.35,0.342,0.003,,,,,,,,,,,,,,,,,
