Time,Position1,Position2,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0.05,0,7.50E-05,,,,,,,,,,,,,,,,,
0.1,-7.50E-05,7.50E-05,,,,,,,,,,,,,,,,,
0.15,-1.50E-04,7.50E-05,,,,,,,,,,,,,,,,,
0.2,-2.25E-04,7.50E-05,,,,,,,,,,,,,,,,,
0.25,-3.00E-04,7.50E-05,,,,,,,,,,,,,,,,,
0.3,-4.50E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.35,-5.25E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.4,-6.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.45,-8.25E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.5,-9.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.55,-9.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.6,-9.00E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.65,-7.50E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.7,-6.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.75,-5.25E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.8,-3.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.85,-3.00E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.9,-1.50E-04,1.50E-04,,,,,,,,,,,,,,,,,
0.95,-4.14E-20,1.50E-04,,,,,,,,,,,,,,,,,
1,1.50E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.05,3.00E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.1,3.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.15,5.25E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.2,6.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.25,8.25E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.3,9.75E-04,1.50E-04,,,,,,,,,,,,,,,,,
1.35,0.0011,1.50E-04,,,,,,,,,,,,,,,,,
1.4,0.0013,1.50E-04,,,,,,,,,,,,,,,,,
1.45,0.0014,1.50E-04,,,,,,,,,,,,,,,,,
1.5,0.0016,1.50E-04,,,,,,,,,,,,,,,,,
1.55,0.0017,1.50E-04,,,,,,,,,,,,,,,,,
1.6,0.0019,1.50E-04,,,,,,,,,,,,,,,,,
1.65,0.0019,1.50E-04,,,,,,,,,,,,,,,,,
1.7,0.0022,1.50E-04,,,,,,,,,,,,,,,,,
1.75,0.0022,1.50E-04,,,,,,,,,,,,,,,,,
1.8,0.0024,1.50E-04,,,,,,,,,,,,,,,,,
1.85,0.0025,1.50E-04,,,,,,,,,,,,,,,,,
1.9,0.0027,1.50E-04,,,,,,,,,,,,,,,,,
1.95,0.0028,1.50E-04,,,,,,,,,,,,,,,,,
2,0.003,1.50E-04,,,,,,,,,,,,,,,,,
2.05,0.0031,1.50E-04,,,,,,,,,,,,,,,,,
2.1,0.0033,1.50E-04,,,,,,,,,,,,,,,,,
2.15,0.0034,1.50E-04,,,,,,,,,,,,,,,,,
2.2,0.0035,1.50E-04,,,,,,,,,,,,,,,,,
2.25,0.0037,1.50E-04,,,,,,,,,,,,,,,,,
2.3,0.0037,1.50E-04,,,,,,,,,,,,,,,,,
2.35,0.004,1.50E-04,,,,,,,,,,,,,,,,,
2.4,0.004,1.50E-04,,,,,,,,,,,,,,,,,
2.45,0.0042,1.50E-04,,,,,,,,,,,,,,,,,
2.5,0.0043,1.50E-04,,,,,,,,,,,,,,,,,
2.55,0.0044,1.50E-04,,,,,,,,,,,,,,,,,
2.6,0.0046,1.50E-04,,,,,,,,,,,,,,,,,
2.65,0.0047,1.50E-04,,,,,,,,,,,,,,,,,
2.7,0.0049,1.50E-04,,,,,,,,,,,,,,,,,
2.75,0.005,1.50E-04,,,,,,,,,,,,,,,,,
2.8,0.0051,1.50E-04,,,,,,,,,,,,,,,,,
2.85,0.0052,1.50E-04,,,,,,,,,,,,,,,,,
2.9,0.0054,1.50E-04,,,,,,,,,,,,,,,,,
2.95,0.0055,1.50E-04,,,,,,,,,,,,,,,,,
3,0.0056,1.50E-04,,,,,,,,,,,,,,,,,
3.05,0.0058,1.50E-04,,,,,,,,,,,,,,,,,
3.1,0.0059,1.50E-04,,,,,,,,,,,,,,,,,
3.15,0.006,1.50E-04,,,,,,,,,,,,,,,,,
3.2,0.0061,1.50E-04,,,,,,,,,,,,,,,,,
3.25,0.0062,1.50E-04,,,,,,,,,,,,,,,,,
3.3,0.0064,1.50E-04,,,,,,,,,,,,,,,,,
3.35,0.0064,1.50E-04,,,,,,,,,,,,,,,,,
3.4,0.0066,1.50E-04,,,,,,,,,,,,,,,,,
3.45,0.0067,1.50E-04,,,,,,,,,,,,,,,,,
3.5,0.0068,1.50E-04,,,,,,,,,,,,,,,,,
3.55,0.007,1.50E-04,,,,,,,,,,,,,,,,,
3.6,0.007,1.50E-04,,,,,,,,,,,,,,,,,
3.65,0.0072,1.50E-04,,,,,,,,,,,,,,,,,
3.7,0.0073,1.50E-04,,,,,,,,,,,,,,,,,
3.75,0.0074,1.50E-04,,,,,,,,,,,,,,,,,
3.8,0.0075,1.50E-04,,,,,,,,,,,,,,,,,
3.85,0.0076,1.50E-04,,,,,,,,,,,,,,,,,
3.9,0.0077,1.50E-04,,,,,,,,,,,,,,,,,
3.95,0.0078,1.50E-04,,,,,,,,,,,,,,,,,
4,0.0079,1.50E-04,,,,,,,,,,,,,,,,,
4.05,0.0079,1.50E-04,,,,,,,,,,,,,,,,,
4.1,0.008,1.50E-04,,,,,,,,,,,,,,,,,
4.15,0.0081,1.50E-04,,,,,,,,,,,,,,,,,
4.2,0.0082,1.50E-04,,,,,,,,,,,,,,,,,
4.25,0.0082,1.50E-04,,,,,,,,,,,,,,,,,
4.3,0.0082,7.50E-05,,,,,,,,,,,,,,,,,
4.35,0.0082,7.50E-05,,,,,,,,,,,,,,,,,
4.4,0.0082,7.50E-05,,,,,,,,,,,,,,,,,
4.45,0.0081,7.50E-05,,,,,,,,,,,,,,,,,
4.5,0.008,7.50E-05,,,,,,,,,,,,,,,,,
4.55,0.0079,7.50E-05,,,,,,,,,,,,,,,,,
4.6,0.0079,7.50E-05,,,,,,,,,,,,,,,,,
4.65,0.0078,7.50E-05,,,,,,,,,,,,,,,,,
4.7,0.0077,7.50E-05,,,,,,,,,,,,,,,,,
4.75,0.0076,7.50E-05,,,,,,,,,,,,,,,,,
4.8,0.0076,7.50E-05,,,,,,,,,,,,,,,,,
4.85,0.0074,7.50E-05,,,,,,,,,,,,,,,,,
4.9,0.0073,7.50E-05,,,,,,,,,,,,,,,,,
4.95,0.0073,7.50E-05,,,,,,,,,,,,,,,,,
5,0.0072,7.50E-05,,,,,,,,,,,,,,,,,
5.05,0.0071,7.50E-05,,,,,,,,,,,,,,,,,
5.1,0.007,7.50E-05,,,,,,,,,,,,,,,,,
5.15,0.007,7.50E-05,,,,,,,,,,,,,,,,,
5.2,0.007,7.50E-05,,,,,,,,,,,,,,,,,
5.25,0.0069,7.50E-05,,,,,,,,,,,,,,,,,
5.3,0.0068,7.50E-05,,,,,,,,,,,,,,,,,
5.35,0.0067,7.50E-05,,,,,,,,,,,,,,,,,
5.4,0.0067,7.50E-05,,,,,,,,,,,,,,,,,
5.45,0.0067,7.50E-05,,,,,,,,,,,,,,,,,
5.5,0.0067,7.50E-05,,,,,,,,,,,,,,,,,
5.55,0.0066,7.50E-05,,,,,,,,,,,,,,,,,
5.6,0.0065,7.50E-05,,,,,,,,,,,,,,,,,
5.65,0.0065,7.50E-05,,,,,,,,,,,,,,,,,
5.7,0.0065,7.50E-05,,,,,,,,,,,,,,,,,
5.75,0.0065,7.50E-05,,,,,,,,,,,,,,,,,
5.8,0.0064,7.50E-05,,,,,,,,,,,,,,,,,
5.85,0.0064,7.50E-05,,,,,,,,,,,,,,,,,
5.9,0.0064,7.50E-05,,,,,,,,,,,,,,,,,
5.95,0.0064,7.50E-05,,,,,,,,,,,,,,,,,
