"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0.00,,,,,0.000,0.000,,,0.0000,,,0.000,,,0.0000,,
3.772,0.03,0.05,4.09E-4,0.02,,,0.050,0.000,0.000,,0.0000,0.000,,0.000,-0.031,,0.0000,-7.500E-4,
4.338,0.03,0.07,0.00,0.03,0.00,0.00,0.100,0.000,0.000,0.000,0.0000,0.000,0.000,-0.003,-0.042,-0.105,-7.5000E-5,-1.000E-3,-0.002
6.473,0.04,0.13,0.00,0.03,-1.63E-4,0.00,0.150,0.000,0.000,-0.105,0.0000,0.000,-0.002,-0.006,-0.042,0.070,-1.5000E-4,-1.000E-3,0.002
6.940,0.04,0.15,0.00,0.04,0.00,-3.24E-5,0.200,0.000,-0.010,-0.140,0.0000,-2.500E-4,-0.003,-0.006,-0.031,0.175,-1.5000E-4,-7.500E-4,0.004
7.873,0.04,0.18,0.00,0.03,0.00,0.00,0.250,0.000,-0.021,-0.070,0.0000,-5.000E-4,-0.002,-0.009,-0.021,0.175,-2.2500E-4,-5.000E-4,0.004
9.142,0.03,0.22,0.00,0.04,0.00,0.02,0.300,-0.003,-0.021,0.035,-7.5000E-5,-5.000E-4,8.333E-4,-0.009,-0.010,0.070,-2.2500E-4,-2.500E-4,0.002
9.775,0.03,0.27,0.00,0.07,0.01,0.01,0.350,-0.003,-0.010,0.070,-7.5000E-5,-2.500E-4,0.002,-0.009,-0.010,-0.035,-2.2500E-4,-2.500E-4,-8.333E-4
10.008,0.04,0.28,0.00,0.05,,,0.400,-0.003,-0.010,0.140,-7.5000E-5,-2.500E-4,0.003,-0.009,-0.021,-0.070,-2.2500E-4,-5.000E-4,-0.002
12.442,0.04,0.41,,,,,0.450,-0.003,-0.010,0.559,-7.5000E-5,-2.500E-4,0.013,-0.013,-0.021,-0.070,-3.0000E-4,-5.000E-4,-0.002
,,,,,,,0.500,-0.006,0.021,1.571,-1.5000E-4,5.000E-4,0.037,-0.013,-0.021,-0.035,-3.0000E-4,-5.000E-4,-8.333E-4
,,,,,,,0.550,-0.003,0.126,2.862,-7.5000E-5,0.003,0.068,-0.013,-0.031,0.314,-3.0000E-4,-7.500E-4,0.007
,,,,,,,0.600,0.003,0.325,3.595,7.5000E-5,0.008,0.086,-0.016,-0.021,1.257,-3.7500E-4,-5.000E-4,0.030
,,,,,,,0.650,0.025,0.545,2.932,6.0000E-4,0.013,0.070,-0.019,0.073,2.583,-4.5000E-4,0.002,0.062
,,,,,,,0.700,0.063,0.681,0.838,0.0015,0.016,0.020,-0.013,0.251,3.700,-3.0000E-4,0.006,0.088
,,,,,,,0.750,0.101,0.649,-1.815,0.0024,0.015,-0.043,0.006,0.471,4.154,1.5000E-4,0.011,0.099
,,,,,,,0.800,0.132,0.471,-4.049,0.0031,0.011,-0.097,0.035,0.691,3.875,8.2500E-4,0.016,0.092
,,,,,,,0.850,0.151,0.209,-5.376,0.0036,0.005,-0.128,0.075,0.880,2.932,0.0018,0.021,0.070
,,,,,,,0.900,0.154,-0.094,-5.899,0.0037,-0.002,-0.141,0.126,1.005,1.536,0.0030,0.024,0.037
,,,,,,,0.950,0.141,-0.398,-5.899,0.0034,-0.009,-0.141,0.179,1.037,-6.661E-15,0.0043,0.025,0.000
,,,,,,,1.000,0.113,-0.691,-5.515,0.0027,-0.016,-0.132,0.232,0.995,-1.431,0.0055,0.024,-0.034
,,,,,,,1.050,0.072,-0.963,-4.782,0.0017,-0.023,-0.114,0.280,0.890,-2.688,0.0067,0.021,-0.064
,,,,,,,1.100,0.016,-1.183,-3.735,3.7500E-4,-0.028,-0.089,0.324,0.723,-3.805,0.0077,0.017,-0.091
,,,,,,,1.150,-0.050,-1.340,-2.548,-0.0012,-0.032,-0.061,0.355,0.503,-4.643,0.0085,0.012,-0.111
,,,,,,,1.200,-0.119,-1.435,-1.361,-0.0028,-0.034,-0.032,0.374,0.241,-5.131,0.0089,0.006,-0.122
,,,,,,,1.250,-0.195,-1.477,-0.105,-0.0046,-0.035,-0.002,0.380,-0.021,-5.271,0.0091,-5.000E-4,-0.126
,,,,,,,1.300,-0.270,-1.456,1.257,-0.0064,-0.035,0.030,0.371,-0.293,-5.061,0.0088,-0.007,-0.121
,,,,,,,1.350,-0.342,-1.351,2.653,-0.0082,-0.032,0.063,0.352,-0.545,-4.503,0.0084,-0.013,-0.107
,,,,,,,1.400,-0.408,-1.183,3.910,-0.0097,-0.028,0.093,0.314,-0.754,-3.560,0.0075,-0.018,-0.085
,,,,,,,1.450,-0.462,-0.953,4.887,-0.0110,-0.023,0.117,0.273,-0.911,-2.374,0.0065,-0.022,-0.057
,,,,,,,1.500,-0.506,-0.681,5.550,-0.0121,-0.016,0.132,0.223,-0.995,-0.977,0.0053,-0.024,-0.023
,,,,,,,1.550,-0.531,-0.387,5.829,-0.0127,-0.009,0.139,0.170,-1.016,0.593,0.0040,-0.024,0.014
,,,,,,,1.600,-0.543,-0.084,5.725,-0.0130,-0.002,0.137,0.119,-0.942,2.199,0.0028,-0.022,0.052
,,,,,,,1.650,-0.540,0.199,5.131,-0.0129,0.005,0.122,0.072,-0.785,3.630,0.0017,-0.019,0.087
,,,,,,,1.700,-0.522,0.450,3.944,-0.0124,0.011,0.094,0.038,-0.565,4.677,9.0000E-4,-0.013,0.112
,,,,,,,1.750,-0.493,0.618,2.234,-0.0118,0.015,0.053,0.016,-0.304,5.341,3.7500E-4,-0.007,0.127
,,,,,,,1.800,-0.456,0.681,0.209,-0.0109,0.016,0.005,0.006,-0.021,5.655,1.5000E-4,-5.000E-4,0.135
,,,,,,,1.850,-0.421,0.639,-1.780,-0.0100,0.015,-0.042,0.013,0.272,5.550,3.0000E-4,0.006,0.132
,,,,,,,1.900,-0.390,0.492,-3.491,-0.0093,0.012,-0.083,0.035,0.555,4.887,8.2500E-4,0.013,0.117
,,,,,,,1.950,-0.368,0.272,-4.747,-0.0088,0.006,-0.113,0.069,0.785,3.665,0.0016,0.019,0.087
,,,,,,,2.000,-0.361,0.000,-5.515,-0.0086,0.000,-0.132,0.116,0.932,2.129,0.0028,0.022,0.051
,,,,,,,2.050,-0.368,-0.293,-5.829,-0.0088,-0.007,-0.139,0.167,0.995,0.559,0.0040,0.024,0.013
,,,,,,,2.100,-0.390,-0.597,-5.655,-0.0093,-0.014,-0.135,0.217,0.984,-0.908,0.0052,0.023,-0.022
,,,,,,,2.150,-0.427,-0.880,-5.027,-0.0102,-0.021,-0.120,0.267,0.901,-2.234,0.0064,0.021,-0.053
,,,,,,,2.200,-0.481,-1.110,-4.084,-0.0115,-0.026,-0.097,0.311,0.754,-3.316,0.0074,0.018,-0.079
,,,,,,,2.250,-0.540,-1.288,-3.002,-0.0129,-0.031,-0.072,0.342,0.555,-4.119,0.0082,0.013,-0.098
,,,,,,,2.300,-0.609,-1.414,-1.780,-0.0145,-0.034,-0.042,0.368,0.335,-4.712,0.0088,0.008,-0.112
,,,,,,,2.350,-0.685,-1.477,-0.419,-0.0163,-0.035,-0.010,0.377,0.084,-5.061,0.0090,0.002,-0.121
,,,,,,,2.400,-0.760,-1.456,0.942,-0.0181,-0.035,0.022,0.377,-0.188,-5.027,0.0090,-0.004,-0.120
,,,,,,,2.450,-0.833,-1.372,2.199,-0.0199,-0.033,0.052,0.358,-0.440,-4.503,0.0085,-0.010,-0.107
,,,,,,,2.500,-0.898,-1.236,3.351,-0.0214,-0.029,0.080,0.330,-0.649,-3.665,0.0079,-0.015,-0.087
,,,,,,,2.550,-0.958,-1.037,4.398,-0.0229,-0.025,0.105,0.292,-0.806,-2.653,0.0070,-0.019,-0.063
,,,,,,,2.600,-1.005,-0.785,5.201,-0.0240,-0.019,0.124,0.248,-0.922,-1.431,0.0059,-0.022,-0.034
,,,,,,,2.650,-1.037,-0.503,5.620,-0.0247,-0.012,0.134,0.198,-0.963,-2.220E-15,0.0047,-0.023,-1.041E-16
,,,,,,,2.700,-1.056,-0.209,5.620,-0.0252,-0.005,0.134,0.148,-0.922,1.501,0.0035,-0.022,0.036
,,,,,,,2.750,-1.059,0.073,5.131,-0.0253,0.002,0.122,0.104,-0.806,2.862,0.0025,-0.019,0.068
,,,,,,,2.800,-1.046,0.325,4.119,-0.0250,0.008,0.098,0.066,-0.628,4.014,0.0016,-0.015,0.096
,,,,,,,2.850,-1.024,0.503,2.653,-0.0244,0.012,0.063,0.038,-0.398,4.887,9.0000E-4,-0.009,0.117
,,,,,,,2.900,-0.993,0.597,0.908,-0.0237,0.014,0.022,0.025,-0.126,5.376,6.0000E-4,-0.003,0.128
,,,,,,,2.950,-0.961,0.597,-0.873,-0.0229,0.014,-0.021,0.025,0.157,5.376,6.0000E-4,0.004,0.128
,,,,,,,3.000,-0.930,0.503,-2.513,-0.0222,0.012,-0.060,0.041,0.429,4.852,9.7500E-4,0.010,0.116
,,,,,,,3.050,-0.908,0.335,-3.910,-0.0217,0.008,-0.093,0.069,0.660,3.910,0.0016,0.016,0.093
,,,,,,,3.100,-0.895,0.105,-4.992,-0.0214,0.002,-0.119,0.110,0.827,2.653,0.0026,0.020,0.063
,,,,,,,3.150,-0.895,-0.178,-5.585,-0.0214,-0.004,-0.133,0.154,0.932,1.257,0.0037,0.022,0.030
,,,,,,,3.200,-0.911,-0.482,-5.515,-0.0217,-0.011,-0.132,0.204,0.953,-0.175,0.0049,0.023,-0.004
,,,,,,,3.250,-0.946,-0.754,-4.922,-0.0226,-0.018,-0.117,0.254,0.911,-1.501,0.0061,0.022,-0.036
,,,,,,,3.300,-0.990,-0.974,-4.154,-0.0236,-0.023,-0.099,0.295,0.796,-2.618,0.0070,0.019,-0.062
,,,,,,,3.350,-1.043,-1.162,-3.351,-0.0249,-0.028,-0.080,0.336,0.639,-3.560,0.0080,0.015,-0.085
,,,,,,,3.400,-1.106,-1.319,-2.374,-0.0264,-0.031,-0.057,0.361,0.440,-4.294,0.0086,0.010,-0.102
,,,,,,,3.450,-1.178,-1.414,-1.117,-0.0281,-0.034,-0.027,0.380,0.199,-4.817,0.0091,0.005,-0.115
,,,,,,,3.500,-1.250,-1.435,0.279,-0.0298,-0.034,0.007,0.383,-0.052,-4.957,0.0091,-0.001,-0.118
,,,,,,,3.550,-1.323,-1.382,1.606,-0.0316,-0.033,0.038,0.374,-0.314,-4.643,0.0089,-0.007,-0.111
,,,,,,,3.600,-1.392,-1.267,2.758,-0.0332,-0.030,0.066,0.352,-0.534,-3.944,0.0084,-0.013,-0.094
,,,,,,,3.650,-1.451,-1.100,3.700,-0.0346,-0.026,0.088,0.317,-0.712,-2.967,0.0076,-0.017,-0.071
,,,,,,,3.700,-1.502,-0.890,4.468,-0.0358,-0.021,0.107,0.280,-0.838,-1.850,0.0067,-0.020,-0.044
,,,,,,,3.750,-1.543,-0.649,5.061,-0.0368,-0.015,0.121,0.232,-0.901,-0.593,0.0055,-0.021,-0.014
,,,,,,,3.800,-1.568,-0.377,5.376,-0.0374,-0.009,0.128,0.185,-0.901,0.733,0.0044,-0.021,0.017
,,,,,,,3.850,-1.580,-0.094,5.236,-0.0377,-0.002,0.125,0.141,-0.827,2.059,0.0034,-0.020,0.049
,,,,,,,3.900,-1.577,0.168,4.503,-0.0376,0.004,0.107,0.101,-0.691,3.281,0.0024,-0.016,0.078
,,,,,,,3.950,-1.561,0.377,3.246,-0.0373,0.009,0.077,0.069,-0.492,4.259,0.0016,-0.012,0.102
,,,,,,,4.000,-1.536,0.503,1.676,-0.0367,0.012,0.040,0.050,-0.251,4.887,0.0012,-0.006,0.117
,,,,,,,4.050,-1.508,0.545,0.035,-0.0360,0.013,8.333E-4,0.044,0.010,5.131,0.0010,2.500E-4,0.122
,,,,,,,4.100,-1.480,0.503,-1.536,-0.0353,0.012,-0.037,0.050,0.272,4.992,0.0012,0.006,0.119
,,,,,,,4.150,-1.455,0.387,-3.002,-0.0347,0.009,-0.072,0.072,0.524,4.398,0.0017,0.012,0.105
,,,,,,,4.200,-1.439,0.199,-4.224,-0.0343,0.005,-0.101,0.104,0.733,3.316,0.0025,0.017,0.079
,,,,,,,4.250,-1.433,-0.052,-5.027,-0.0342,-0.001,-0.120,0.148,0.869,1.885,0.0035,0.021,0.045
,,,,,,,4.300,-1.442,-0.325,-5.271,-0.0344,-0.008,-0.126,0.195,0.922,0.419,0.0046,0.022,0.010
,,,,,,,4.350,-1.467,-0.597,-5.027,-0.0350,-0.014,-0.120,0.242,0.901,-0.873,0.0058,0.021,-0.021
,,,,,,,4.400,-1.502,-0.838,-4.468,-0.0358,-0.020,-0.107,0.286,0.827,-1.990,0.0068,0.020,-0.047
,,,,,,,4.450,-1.552,-1.047,-3.665,-0.0370,-0.025,-0.087,0.327,0.702,-2.967,0.0078,0.017,-0.071
,,,,,,,4.500,-1.608,-1.215,-2.723,-0.0384,-0.029,-0.065,0.358,0.524,-3.770,0.0085,0.012,-0.090
,,,,,,,4.550,-1.674,-1.319,-1.676,-0.0400,-0.031,-0.040,0.380,0.314,-4.328,0.0091,0.007,-0.103
,,,,,,,4.600,-1.744,-1.382,-0.559,-0.0416,-0.033,-0.013,0.390,0.084,-4.608,0.0093,0.002,-0.110
,,,,,,,4.650,-1.813,-1.382,0.628,-0.0433,-0.033,0.015,0.390,-0.157,-4.573,0.0093,-0.004,-0.109
,,,,,,,4.700,-1.885,-1.319,1.850,-0.0450,-0.031,0.044,0.374,-0.387,-4.154,0.0089,-0.009,-0.099
,,,,,,,4.750,-1.948,-1.194,2.967,-0.0465,-0.028,0.071,0.349,-0.586,-3.421,0.0083,-0.014,-0.082
,,,,,,,4.800,-2.004,-1.016,3.944,-0.0478,-0.024,0.094,0.314,-0.733,-2.478,0.0075,-0.017,-0.059
,,,,,,,4.850,-2.051,-0.796,4.712,-0.0490,-0.019,0.112,0.273,-0.838,-1.361,0.0065,-0.020,-0.032
,,,,,,,4.900,-2.086,-0.534,5.131,-0.0498,-0.013,0.122,0.229,-0.880,-0.070,0.0055,-0.021,-0.002
,,,,,,,4.950,-2.105,-0.262,5.096,-0.0502,-0.006,0.122,0.182,-0.848,1.326,0.0043,-0.020,0.032
,,,,,,,5.000,-2.111,-0.010,4.643,-0.0504,-2.500E-4,0.111,0.141,-0.744,2.618,0.0034,-0.018,0.062
,,,,,,,5.050,-2.105,0.209,3.840,-0.0502,0.005,0.092,0.107,-0.576,3.665,0.0025,-0.014,0.087
,,,,,,,5.100,-2.089,0.387,2.653,-0.0499,0.009,0.063,0.082,-0.367,4.398,0.0019,-0.009,0.105
,,,,,,,5.150,-2.064,0.492,1.082,-0.0493,0.012,0.026,0.069,-0.126,4.782,0.0016,-0.003,0.114
,,,,,,,5.200,-2.036,0.503,-0.663,-0.0486,0.012,-0.016,0.069,0.126,4.782,0.0016,0.003,0.114
,,,,,,,5.250,-2.011,0.419,-2.234,-0.0480,0.010,-0.053,0.082,0.367,4.398,0.0019,0.009,0.105
,,,,,,,5.300,-1.992,0.262,-3.456,-0.0475,0.006,-0.082,0.107,0.576,3.665,0.0025,0.014,0.087
,,,,,,,5.350,-1.982,0.063,-4.328,-0.0473,0.001,-0.103,0.141,0.744,2.618,0.0034,0.018,0.062
,,,,,,,5.400,-1.985,-0.178,-4.887,-0.0474,-0.004,-0.117,0.182,0.848,1.326,0.0043,0.020,0.032
,,,,,,,5.450,-1.998,-0.440,-5.061,-0.0477,-0.010,-0.121,0.229,0.880,-0.035,0.0055,0.021,-8.333E-4
,,,,,,,5.500,-2.029,-0.702,-4.747,-0.0484,-0.017,-0.113,0.273,0.838,-1.257,0.0065,0.020,-0.030
,,,,,,,5.550,-2.070,-0.932,-4.049,-0.0494,-0.022,-0.097,0.314,0.744,-2.269,0.0075,0.018,-0.054
,,,,,,,5.600,-2.124,-1.110,-3.142,-0.0507,-0.026,-0.075,0.349,0.607,-3.107,0.0083,0.014,-0.074
