Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angle, 670-231 (rad) Run #2",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0.05,0,0,,,,,,,,,,,,,,,,,
0.1,0,-0.003,,,,,,,,,,,,,,,,,
0.15,0,-0.006,,,,,,,,,,,,,,,,,
0.2,0,-0.006,,,,,,,,,,,,,,,,,
0.25,0,-0.009,,,,,,,,,,,,,,,,,
0.3,-0.003,-0.009,,,,,,,,,,,,,,,,,
0.35,-0.003,-0.009,,,,,,,,,,,,,,,,,
0.4,-0.003,-0.009,,,,,,,,,,,,,,,,,
0.45,-0.003,-0.013,,,,,,,,,,,,,,,,,
0.5,-0.006,-0.013,,,,,,,,,,,,,,,,,
0.55,-0.003,-0.013,,,,,,,,,,,,,,,,,
0.6,0.003,-0.016,,,,,,,,,,,,,,,,,
0.65,0.025,-0.019,,,,,,,,,,,,,,,,,
0.7,0.063,-0.013,,,,,,,,,,,,,,,,,
0.75,0.101,0.006,,,,,,,,,,,,,,,,,
0.8,0.132,0.035,,,,,,,,,,,,,,,,,
0.85,0.151,0.075,,,,,,,,,,,,,,,,,
0.9,0.154,0.126,,,,,,,,,,,,,,,,,
0.95,0.141,0.179,,,,,,,,,,,,,,,,,
1,0.113,0.232,,,,,,,,,,,,,,,,,
1.05,0.072,0.28,,,,,,,,,,,,,,,,,
1.1,0.016,0.324,,,,,,,,,,,,,,,,,
1.15,-0.05,0.355,,,,,,,,,,,,,,,,,
1.2,-0.119,0.374,,,,,,,,,,,,,,,,,
1.25,-0.195,0.38,,,,,,,,,,,,,,,,,
1.3,-0.27,0.371,,,,,,,,,,,,,,,,,
1.35,-0.342,0.352,,,,,,,,,,,,,,,,,
1.4,-0.408,0.314,,,,,,,,,,,,,,,,,
1.45,-0.462,0.273,,,,,,,,,,,,,,,,,
1.5,-0.506,0.223,,,,,,,,,,,,,,,,,
1.55,-0.531,0.17,,,,,,,,,,,,,,,,,
1.6,-0.543,0.119,,,,,,,,,,,,,,,,,
1.65,-0.54,0.072,,,,,,,,,,,,,,,,,
1.7,-0.522,0.038,,,,,,,,,,,,,,,,,
1.75,-0.493,0.016,,,,,,,,,,,,,,,,,
1.8,-0.456,0.006,,,,,,,,,,,,,,,,,
1.85,-0.421,0.013,,,,,,,,,,,,,,,,,
1.9,-0.39,0.035,,,,,,,,,,,,,,,,,
1.95,-0.368,0.069,,,,,,,,,,,,,,,,,
2,-0.361,0.116,,,,,,,,,,,,,,,,,
2.05,-0.368,0.167,,,,,,,,,,,,,,,,,
2.1,-0.39,0.217,,,,,,,,,,,,,,,,,
2.15,-0.427,0.267,,,,,,,,,,,,,,,,,
2.2,-0.481,0.311,,,,,,,,,,,,,,,,,
2.25,-0.54,0.342,,,,,,,,,,,,,,,,,
2.3,-0.609,0.368,,,,,,,,,,,,,,,,,
2.35,-0.685,0.377,,,,,,,,,,,,,,,,,
2.4,-0.76,0.377,,,,,,,,,,,,,,,,,
2.45,-0.833,0.358,,,,,,,,,,,,,,,,,
2.5,-0.898,0.33,,,,,,,,,,,,,,,,,
2.55,-0.958,0.292,,,,,,,,,,,,,,,,,
2.6,-1.005,0.248,,,,,,,,,,,,,,,,,
2.65,-1.037,0.198,,,,,,,,,,,,,,,,,
2.7,-1.056,0.148,,,,,,,,,,,,,,,,,
2.75,-1.059,0.104,,,,,,,,,,,,,,,,,
2.8,-1.046,0.066,,,,,,,,,,,,,,,,,
2.85,-1.024,0.038,,,,,,,,,,,,,,,,,
2.9,-0.993,0.025,,,,,,,,,,,,,,,,,
2.95,-0.961,0.025,,,,,,,,,,,,,,,,,
3,-0.93,0.041,,,,,,,,,,,,,,,,,
3.05,-0.908,0.069,,,,,,,,,,,,,,,,,
3.1,-0.895,0.11,,,,,,,,,,,,,,,,,
3.15,-0.895,0.154,,,,,,,,,,,,,,,,,
3.2,-0.911,0.204,,,,,,,,,,,,,,,,,
3.25,-0.946,0.254,,,,,,,,,,,,,,,,,
3.3,-0.99,0.295,,,,,,,,,,,,,,,,,
3.35,-1.043,0.336,,,,,,,,,,,,,,,,,
3.4,-1.106,0.361,,,,,,,,,,,,,,,,,
3.45,-1.178,0.38,,,,,,,,,,,,,,,,,
3.5,-1.25,0.383,,,,,,,,,,,,,,,,,
3.55,-1.323,0.374,,,,,,,,,,,,,,,,,
3.6,-1.392,0.352,,,,,,,,,,,,,,,,,
3.65,-1.451,0.317,,,,,,,,,,,,,,,,,
3.7,-1.502,0.28,,,,,,,,,,,,,,,,,
3.75,-1.543,0.232,,,,,,,,,,,,,,,,,
3.8,-1.568,0.185,,,,,,,,,,,,,,,,,
3.85,-1.58,0.141,,,,,,,,,,,,,,,,,
3.9,-1.577,0.101,,,,,,,,,,,,,,,,,
3.95,-1.561,0.069,,,,,,,,,,,,,,,,,
4,-1.536,0.05,,,,,,,,,,,,,,,,,
4.05,-1.508,0.044,,,,,,,,,,,,,,,,,
4.1,-1.48,0.05,,,,,,,,,,,,,,,,,
4.15,-1.455,0.072,,,,,,,,,,,,,,,,,
4.2,-1.439,0.104,,,,,,,,,,,,,,,,,
4.25,-1.433,0.148,,,,,,,,,,,,,,,,,
4.3,-1.442,0.195,,,,,,,,,,,,,,,,,
4.35,-1.467,0.242,,,,,,,,,,,,,,,,,
4.4,-1.502,0.286,,,,,,,,,,,,,,,,,
4.45,-1.552,0.327,,,,,,,,,,,,,,,,,
4.5,-1.608,0.358,,,,,,,,,,,,,,,,,
4.55,-1.674,0.38,,,,,,,,,,,,,,,,,
4.6,-1.744,0.39,,,,,,,,,,,,,,,,,
