"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0.00,,,,,0.000,0.000,,,0.0000,,,0.000,,,0.0000,,
3.772,0.03,0.05,4.09E-4,0.02,,,0.050,0.000,0.000,,0.0000,0.000,,0.000,-0.031,,0.0000,-7.500E-4,
4.338,0.03,0.07,0.00,0.03,0.00,0.00,0.100,0.000,0.000,0.000,0.0000,0.000,0.000,-0.003,-0.052,-0.209,-7.5000E-5,-0.001,-0.005
6.473,0.04,0.13,0.00,0.03,-1.63E-4,0.00,0.150,0.000,0.000,-0.209,0.0000,0.000,-0.005,-0.006,-0.052,0.035,-1.5000E-4,-0.001,8.333E-4
6.940,0.04,0.15,0.00,0.04,0.00,-3.24E-5,0.200,0.000,-0.010,-0.628,0.0000,-2.500E-4,-0.015,-0.009,-0.042,0.140,-2.2500E-4,-1.000E-3,0.003
7.873,0.04,0.18,0.00,0.03,0.00,0.00,0.250,0.000,-0.052,-1.326,0.0000,-0.001,-0.032,-0.009,-0.031,0.105,-2.2500E-4,-7.500E-4,0.002
9.142,0.03,0.22,0.00,0.04,0.00,0.02,0.300,-0.003,-0.136,-2.234,-7.5000E-5,-0.003,-0.053,-0.013,-0.031,0.035,-3.0000E-4,-7.500E-4,8.333E-4
9.775,0.03,0.27,0.00,0.07,0.01,0.01,0.350,-0.013,-0.272,-3.177,-3.0000E-4,-0.006,-0.076,-0.013,-0.031,-0.105,-3.0000E-4,-7.500E-4,-0.002
10.008,0.04,0.28,0.00,0.05,,,0.400,-0.028,-0.461,-3.910,-6.7500E-4,-0.011,-0.093,-0.016,-0.031,-0.384,-3.7500E-4,-7.500E-4,-0.009
12.442,0.04,0.41,,,,,0.450,-0.057,-0.681,-4.154,-0.0013,-0.016,-0.099,-0.016,-0.063,-0.838,-3.7500E-4,-0.001,-0.020
,,,,,,,0.500,-0.097,-0.901,-3.770,-0.0023,-0.021,-0.090,-0.019,-0.115,-1.292,-4.5000E-4,-0.003,-0.031
,,,,,,,0.550,-0.148,-1.079,-2.827,-0.0035,-0.026,-0.067,-0.028,-0.199,-1.571,-6.7500E-4,-0.005,-0.037
,,,,,,,0.600,-0.207,-1.194,-1.536,-0.0049,-0.028,-0.037,-0.038,-0.283,-1.710,-9.0000E-4,-0.007,-0.041
,,,,,,,0.650,-0.270,-1.236,-0.105,-0.0064,-0.029,-0.002,-0.057,-0.367,-1.745,-0.0013,-0.009,-0.042
,,,,,,,0.700,-0.333,-1.204,1.292,-0.0079,-0.029,0.031,-0.075,-0.461,-1.710,-0.0018,-0.011,-0.041
,,,,,,,0.750,-0.393,-1.100,2.478,-0.0094,-0.026,0.059,-0.101,-0.545,-1.466,-0.0024,-0.013,-0.035
,,,,,,,0.800,-0.446,-0.942,3.281,-0.0106,-0.022,0.078,-0.132,-0.618,-0.977,-0.0031,-0.015,-0.023
,,,,,,,0.850,-0.487,-0.754,3.630,-0.0116,-0.018,0.087,-0.163,-0.649,-0.349,-0.0039,-0.015,-0.008
,,,,,,,0.900,-0.522,-0.565,3.700,-0.0124,-0.013,0.088,-0.198,-0.649,0.349,-0.0047,-0.015,0.008
,,,,,,,0.950,-0.543,-0.387,3.665,-0.0130,-0.009,0.087,-0.229,-0.618,1.047,-0.0055,-0.015,0.025
,,,,,,,1.000,-0.559,-0.199,3.526,-0.0133,-0.005,0.084,-0.261,-0.545,1.745,-0.0062,-0.013,0.042
,,,,,,,1.050,-0.565,-0.021,3.072,-0.0135,-5.000E-4,0.073,-0.286,-0.440,2.374,-0.0068,-0.010,0.057
,,,,,,,1.100,-0.559,0.126,2.199,-0.0133,0.003,0.052,-0.305,-0.304,2.862,-0.0073,-0.007,0.068
,,,,,,,1.150,-0.550,0.209,1.117,-0.0131,0.005,0.027,-0.317,-0.147,3.107,-0.0076,-0.003,0.074
,,,,,,,1.200,-0.537,0.230,0.035,-0.0128,0.005,8.333E-4,-0.320,0.021,3.002,-0.0076,5.000E-4,0.072
,,,,,,,1.250,-0.525,0.209,-0.977,-0.0125,0.005,-0.023,-0.314,0.168,2.653,-0.0075,0.004,0.063
,,,,,,,1.300,-0.515,0.136,-1.920,-0.0123,0.003,-0.046,-0.302,0.283,2.269,-0.0072,0.007,0.054
,,,,,,,1.350,-0.509,0.010,-2.688,-0.0121,2.500E-4,-0.064,-0.286,0.387,1.920,-0.0068,0.009,0.046
,,,,,,,1.400,-0.512,-0.147,-3.107,-0.0122,-0.003,-0.074,-0.264,0.482,1.466,-0.0063,0.011,0.035
,,,,,,,1.450,-0.525,-0.314,-3.211,-0.0125,-0.007,-0.077,-0.236,0.545,0.838,-0.0056,0.013,0.020
,,,,,,,1.500,-0.543,-0.471,-3.142,-0.0130,-0.011,-0.075,-0.207,0.565,0.209,-0.0049,0.013,0.005
,,,,,,,1.550,-0.572,-0.628,-3.002,-0.0136,-0.015,-0.072,-0.179,0.555,-0.279,-0.0043,0.013,-0.007
,,,,,,,1.600,-0.606,-0.775,-2.793,-0.0145,-0.018,-0.067,-0.151,0.534,-0.663,-0.0036,0.013,-0.016
,,,,,,,1.650,-0.650,-0.911,-2.478,-0.0155,-0.022,-0.059,-0.126,0.492,-1.047,-0.0030,0.012,-0.025
,,,,,,,1.700,-0.697,-1.026,-2.094,-0.0166,-0.024,-0.050,-0.101,0.429,-1.466,-0.0024,0.010,-0.035
,,,,,,,1.750,-0.754,-1.121,-1.641,-0.0180,-0.027,-0.039,-0.082,0.346,-1.815,-0.0019,0.008,-0.043
,,,,,,,1.800,-0.811,-1.194,-1.152,-0.0193,-0.028,-0.027,-0.066,0.241,-2.059,-0.0016,0.006,-0.049
,,,,,,,1.850,-0.873,-1.236,-0.628,-0.0208,-0.029,-0.015,-0.057,0.136,-2.199,-0.0013,0.003,-0.052
,,,,,,,1.900,-0.936,-1.257,-0.105,-0.0223,-0.030,-0.002,-0.053,0.021,-2.269,-0.0013,5.000E-4,-0.054
,,,,,,,1.950,-0.999,-1.246,0.384,-0.0238,-0.030,0.009,-0.053,-0.094,-2.269,-0.0013,-0.002,-0.054
,,,,,,,2.000,-1.062,-1.215,0.873,-0.0253,-0.029,0.021,-0.063,-0.209,-2.094,-0.0015,-0.005,-0.050
,,,,,,,2.050,-1.122,-1.162,1.361,-0.0268,-0.028,0.032,-0.075,-0.314,-1.780,-0.0018,-0.007,-0.042
,,,,,,,2.100,-1.178,-1.079,1.850,-0.0281,-0.026,0.044,-0.094,-0.387,-1.396,-0.0022,-0.009,-0.033
,,,,,,,2.150,-1.232,-0.974,2.304,-0.0294,-0.023,0.055,-0.116,-0.450,-1.012,-0.0028,-0.011,-0.024
,,,,,,,2.200,-1.275,-0.848,2.688,-0.0304,-0.020,0.064,-0.138,-0.492,-0.628,-0.0033,-0.012,-0.015
,,,,,,,2.250,-1.316,-0.702,3.002,-0.0314,-0.017,0.072,-0.167,-0.513,-0.175,-0.0040,-0.012,-0.004
,,,,,,,2.300,-1.348,-0.545,3.177,-0.0322,-0.013,0.076,-0.192,-0.513,0.314,-0.0046,-0.012,0.007
,,,,,,,2.350,-1.370,-0.377,3.142,-0.0327,-0.009,0.075,-0.217,-0.482,0.873,-0.0052,-0.011,0.021
,,,,,,,2.400,-1.385,-0.220,2.862,-0.0331,-0.005,0.068,-0.242,-0.429,1.466,-0.0058,-0.010,0.035
,,,,,,,2.450,-1.392,-0.084,2.339,-0.0332,-0.002,0.056,-0.261,-0.335,1.955,-0.0062,-0.008,0.047
,,,,,,,2.500,-1.392,0.021,1.641,-0.0332,5.000E-4,0.039,-0.276,-0.220,2.234,-0.0066,-0.005,0.053
,,,,,,,2.550,-1.389,0.084,0.838,-0.0331,0.002,0.020,-0.283,-0.105,2.304,-0.0067,-0.002,0.055
,,,,,,,2.600,-1.382,0.105,6.939E-16,-0.0330,0.002,2.450E-16,-0.286,0.010,2.304,-0.0068,2.500E-4,0.055
,,,,,,,2.650,-1.376,0.084,-0.768,-0.0328,0.002,-0.018,-0.283,0.126,2.234,-0.0067,0.003,0.053
,,,,,,,2.700,-1.373,0.021,-1.431,-0.0328,5.000E-4,-0.034,-0.273,0.241,2.025,-0.0065,0.006,0.048
,,,,,,,2.750,-1.373,-0.063,-2.025,-0.0328,-0.001,-0.048,-0.258,0.335,1.676,-0.0061,0.008,0.040
,,,,,,,2.800,-1.379,-0.178,-2.513,-0.0329,-0.004,-0.060,-0.239,0.408,1.257,-0.0057,0.010,0.030
,,,,,,,2.850,-1.389,-0.325,-2.793,-0.0331,-0.008,-0.067,-0.217,0.461,0.838,-0.0052,0.011,0.020
,,,,,,,2.900,-1.411,-0.471,-2.793,-0.0337,-0.011,-0.067,-0.192,0.492,0.419,-0.0046,0.012,0.010
,,,,,,,2.950,-1.439,-0.607,-2.653,-0.0343,-0.014,-0.063,-0.167,0.503,-0.035,-0.0040,0.012,-8.333E-4
,,,,,,,3.000,-1.470,-0.733,-2.478,-0.0351,-0.017,-0.059,-0.141,0.492,-0.524,-0.0034,0.012,-0.012
,,,,,,,3.050,-1.511,-0.859,-2.234,-0.0361,-0.020,-0.053,-0.116,0.450,-0.977,-0.0028,0.011,-0.023
,,,,,,,3.100,-1.558,-0.963,-1.885,-0.0372,-0.023,-0.045,-0.094,0.387,-1.326,-0.0022,0.009,-0.032
,,,,,,,3.150,-1.608,-1.047,-1.466,-0.0384,-0.025,-0.035,-0.079,0.314,-1.571,-0.0019,0.007,-0.037
,,,,,,,3.200,-1.662,-1.110,-1.047,-0.0397,-0.026,-0.025,-0.063,0.230,-1.780,-0.0015,0.005,-0.042
,,,,,,,3.250,-1.722,-1.152,-0.593,-0.0411,-0.027,-0.014,-0.053,0.136,-1.920,-0.0013,0.003,-0.046
,,,,,,,3.300,-1.778,-1.173,-0.105,-0.0424,-0.028,-0.002,-0.050,0.031,-1.955,-0.0012,7.500E-4,-0.047
,,,,,,,3.350,-1.838,-1.162,0.419,-0.0439,-0.028,0.010,-0.050,-0.063,-1.920,-0.0012,-0.001,-0.046
,,,,,,,3.400,-1.898,-1.131,0.908,-0.0453,-0.027,0.022,-0.057,-0.157,-1.815,-0.0013,-0.004,-0.043
,,,,,,,3.450,-1.951,-1.068,1.292,-0.0466,-0.025,0.031,-0.066,-0.251,-1.641,-0.0016,-0.006,-0.039
,,,,,,,3.500,-2.004,-0.995,1.606,-0.0478,-0.024,0.038,-0.082,-0.325,-1.361,-0.0019,-0.008,-0.032
,,,,,,,3.550,-2.051,-0.911,1.885,-0.0490,-0.022,0.045,-0.101,-0.387,-1.012,-0.0024,-0.009,-0.024
,,,,,,,3.600,-2.095,-0.806,2.199,-0.0500,-0.019,0.052,-0.119,-0.429,-0.628,-0.0028,-0.010,-0.015
,,,,,,,3.650,-2.133,-0.691,2.513,-0.0509,-0.016,0.060,-0.145,-0.450,-0.209,-0.0034,-0.011,-0.005
,,,,,,,3.700,-2.165,-0.555,2.723,-0.0517,-0.013,0.065,-0.167,-0.450,0.209,-0.0040,-0.011,0.005
,,,,,,,3.750,-2.190,-0.408,2.688,-0.0523,-0.010,0.064,-0.188,-0.429,0.663,-0.0045,-0.010,0.016
,,,,,,,3.800,-2.205,-0.272,2.374,-0.0526,-0.006,0.057,-0.210,-0.387,1.152,-0.0050,-0.009,0.027
,,,,,,,3.850,-2.215,-0.168,1.920,-0.0529,-0.004,0.046,-0.229,-0.314,1.606,-0.0055,-0.007,0.038
,,,,,,,3.900,-2.221,-0.084,1.466,-0.0530,-0.002,0.035,-0.242,-0.220,1.955,-0.0058,-0.005,0.047
,,,,,,,3.950,-2.224,-0.021,0.977,-0.0531,-5.000E-4,0.023,-0.251,-0.115,2.164,-0.0060,-0.003,0.052
,,,,,,,4.000,-2.221,0.021,0.314,-0.0530,5.000E-4,0.007,-0.254,-5.551E-16,2.199,-0.0061,0.000,0.052
,,,,,,,4.050,-2.221,0.021,-0.454,-0.0530,5.000E-4,-0.011,-0.251,0.115,2.025,-0.0060,0.003,0.048
,,,,,,,4.100,-2.218,-0.031,-1.187,-0.0529,-7.500E-4,-0.028,-0.242,0.209,1.710,-0.0058,0.005,0.041
,,,,,,,4.150,-2.221,-0.105,-1.745,-0.0530,-0.002,-0.042,-0.229,0.283,1.396,-0.0055,0.007,0.033
,,,,,,,4.200,-2.231,-0.209,-2.094,-0.0532,-0.005,-0.050,-0.214,0.346,1.152,-0.0051,0.008,0.027
,,,,,,,4.250,-2.240,-0.325,-2.304,-0.0535,-0.008,-0.055,-0.195,0.398,0.942,-0.0046,0.009,0.022
,,,,,,,4.300,-2.262,-0.440,-2.409,-0.0540,-0.010,-0.057,-0.173,0.440,0.663,-0.0041,0.010,0.016
,,,,,,,4.350,-2.287,-0.565,-2.478,-0.0546,-0.013,-0.059,-0.151,0.471,0.244,-0.0036,0.011,0.006
,,,,,,,4.400,-2.315,-0.691,-2.443,-0.0553,-0.016,-0.058,-0.126,0.471,-0.314,-0.0030,0.011,-0.007
,,,,,,,4.450,-2.356,-0.817,-2.199,-0.0562,-0.019,-0.052,-0.101,0.440,-0.873,-0.0024,0.010,-0.021
,,,,,,,4.500,-2.400,-0.922,-1.815,-0.0573,-0.022,-0.043,-0.082,0.377,-1.257,-0.0019,0.009,-0.030
,,,,,,,4.550,-2.447,-0.995,-1.431,-0.0584,-0.024,-0.034,-0.063,0.304,-1.466,-0.0015,0.007,-0.035
,,,,,,,4.600,-2.501,-1.058,-1.082,-0.0597,-0.025,-0.026,-0.050,0.230,-1.606,-0.0012,0.005,-0.038
,,,,,,,4.650,-2.554,-1.110,-0.698,-0.0610,-0.026,-0.017,-0.041,0.147,-1.745,-9.7500E-4,0.003,-0.042
,,,,,,,4.700,-2.611,-1.131,-0.209,-0.0623,-0.027,-0.005,-0.035,0.052,-1.850,-8.2500E-4,0.001,-0.044
,,,,,,,4.750,-2.670,-1.131,0.314,-0.0637,-0.027,0.007,-0.035,-0.042,-1.850,-8.2500E-4,-1.000E-3,-0.044
,,,,,,,4.800,-2.724,-1.100,0.768,-0.0650,-0.026,0.018,-0.041,-0.136,-1.745,-9.7500E-4,-0.003,-0.042
,,,,,,,4.850,-2.780,-1.047,1.152,-0.0664,-0.025,0.027,-0.047,-0.220,-1.536,-0.0011,-0.005,-0.037
,,,,,,,4.900,-2.831,-0.984,1.431,-0.0676,-0.023,0.034,-0.063,-0.293,-1.222,-0.0015,-0.007,-0.029
,,,,,,,4.950,-2.878,-0.901,1.676,-0.0687,-0.021,0.040,-0.079,-0.346,-0.908,-0.0019,-0.008,-0.022
,,,,,,,5.000,-2.922,-0.817,1.920,-0.0697,-0.019,0.046,-0.097,-0.377,-0.628,-0.0023,-0.009,-0.015
,,,,,,,5.050,-2.959,-0.712,2.164,-0.0706,-0.017,0.052,-0.116,-0.408,-0.349,-0.0028,-0.010,-0.008
,,,,,,,5.100,-2.994,-0.597,2.374,-0.0715,-0.014,0.057,-0.138,-0.419,0.035,-0.0033,-0.010,8.333E-4
,,,,,,,5.150,-3.019,-0.471,2.443,-0.0721,-0.011,0.058,-0.160,-0.408,0.524,-0.0038,-0.010,0.012
,,,,,,,5.200,-3.041,-0.346,2.339,-0.0726,-0.008,0.056,-0.179,-0.367,1.012,-0.0043,-0.009,0.024
,,,,,,,5.250,-3.054,-0.230,2.025,-0.0729,-0.005,0.048,-0.198,-0.304,1.431,-0.0047,-0.007,0.034
,,,,,,,5.300,-3.063,-0.136,1.536,-0.0731,-0.003,0.037,-0.210,-0.220,1.710,-0.0050,-0.005,0.041
,,,,,,,5.350,-3.066,-0.073,0.942,-0.0732,-0.002,0.022,-0.220,-0.126,1.850,-0.0052,-0.003,0.044
,,,,,,,5.400,-3.069,-0.042,0.314,-0.0733,-1.000E-3,0.007,-0.223,-0.031,1.885,-0.0053,-7.500E-4,0.045
,,,,,,,5.450,-3.069,-0.042,-0.314,-0.0733,-1.000E-3,-0.007,-0.223,0.063,1.850,-0.0053,0.001,0.044
