Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0.05,0,0,,,,,,,,,,,,,,,,,
0.1,0,-0.003,,,,,,,,,,,,,,,,,
0.15,0,-0.006,,,,,,,,,,,,,,,,,
0.2,0,-0.009,,,,,,,,,,,,,,,,,
0.25,0,-0.009,,,,,,,,,,,,,,,,,
0.3,-0.003,-0.013,,,,,,,,,,,,,,,,,
0.35,-0.013,-0.013,,,,,,,,,,,,,,,,,
0.4,-0.028,-0.016,,,,,,,,,,,,,,,,,
0.45,-0.057,-0.016,,,,,,,,,,,,,,,,,
0.5,-0.097,-0.019,,,,,,,,,,,,,,,,,
0.55,-0.148,-0.028,,,,,,,,,,,,,,,,,
0.6,-0.207,-0.038,,,,,,,,,,,,,,,,,
0.65,-0.27,-0.057,,,,,,,,,,,,,,,,,
0.7,-0.333,-0.075,,,,,,,,,,,,,,,,,
0.75,-0.393,-0.101,,,,,,,,,,,,,,,,,
0.8,-0.446,-0.132,,,,,,,,,,,,,,,,,
0.85,-0.487,-0.163,,,,,,,,,,,,,,,,,
0.9,-0.522,-0.198,,,,,,,,,,,,,,,,,
0.95,-0.543,-0.229,,,,,,,,,,,,,,,,,
1,-0.559,-0.261,,,,,,,,,,,,,,,,,
1.05,-0.565,-0.286,,,,,,,,,,,,,,,,,
1.1,-0.559,-0.305,,,,,,,,,,,,,,,,,
1.15,-0.55,-0.317,,,,,,,,,,,,,,,,,
1.2,-0.537,-0.32,,,,,,,,,,,,,,,,,
1.25,-0.525,-0.314,,,,,,,,,,,,,,,,,
1.3,-0.515,-0.302,,,,,,,,,,,,,,,,,
1.35,-0.509,-0.286,,,,,,,,,,,,,,,,,
1.4,-0.512,-0.264,,,,,,,,,,,,,,,,,
1.45,-0.525,-0.236,,,,,,,,,,,,,,,,,
1.5,-0.543,-0.207,,,,,,,,,,,,,,,,,
1.55,-0.572,-0.179,,,,,,,,,,,,,,,,,
1.6,-0.606,-0.151,,,,,,,,,,,,,,,,,
1.65,-0.65,-0.126,,,,,,,,,,,,,,,,,
1.7,-0.697,-0.101,,,,,,,,,,,,,,,,,
1.75,-0.754,-0.082,,,,,,,,,,,,,,,,,
1.8,-0.811,-0.066,,,,,,,,,,,,,,,,,
1.85,-0.873,-0.057,,,,,,,,,,,,,,,,,
1.9,-0.936,-0.053,,,,,,,,,,,,,,,,,
1.95,-0.999,-0.053,,,,,,,,,,,,,,,,,
2,-1.062,-0.063,,,,,,,,,,,,,,,,,
2.05,-1.122,-0.075,,,,,,,,,,,,,,,,,
2.1,-1.178,-0.094,,,,,,,,,,,,,,,,,
2.15,-1.232,-0.116,,,,,,,,,,,,,,,,,
2.2,-1.275,-0.138,,,,,,,,,,,,,,,,,
2.25,-1.316,-0.167,,,,,,,,,,,,,,,,,
2.3,-1.348,-0.192,,,,,,,,,,,,,,,,,
2.35,-1.37,-0.217,,,,,,,,,,,,,,,,,
2.4,-1.385,-0.242,,,,,,,,,,,,,,,,,
2.45,-1.392,-0.261,,,,,,,,,,,,,,,,,
2.5,-1.392,-0.276,,,,,,,,,,,,,,,,,
2.55,-1.389,-0.283,,,,,,,,,,,,,,,,,
2.6,-1.382,-0.286,,,,,,,,,,,,,,,,,
2.65,-1.376,-0.283,,,,,,,,,,,,,,,,,
2.7,-1.373,-0.273,,,,,,,,,,,,,,,,,
2.75,-1.373,-0.258,,,,,,,,,,,,,,,,,
2.8,-1.379,-0.239,,,,,,,,,,,,,,,,,
2.85,-1.389,-0.217,,,,,,,,,,,,,,,,,
2.9,-1.411,-0.192,,,,,,,,,,,,,,,,,
2.95,-1.439,-0.167,,,,,,,,,,,,,,,,,
3,-1.47,-0.141,,,,,,,,,,,,,,,,,
3.05,-1.511,-0.116,,,,,,,,,,,,,,,,,
3.1,-1.558,-0.094,,,,,,,,,,,,,,,,,
3.15,-1.608,-0.079,,,,,,,,,,,,,,,,,
3.2,-1.662,-0.063,,,,,,,,,,,,,,,,,
3.25,-1.722,-0.053,,,,,,,,,,,,,,,,,
3.3,-1.778,-0.05,,,,,,,,,,,,,,,,,
3.35,-1.838,-0.05,,,,,,,,,,,,,,,,,
3.4,-1.898,-0.057,,,,,,,,,,,,,,,,,
3.45,-1.951,-0.066,,,,,,,,,,,,,,,,,
3.5,-2.004,-0.082,,,,,,,,,,,,,,,,,
3.55,-2.051,-0.101,,,,,,,,,,,,,,,,,
3.6,-2.095,-0.119,,,,,,,,,,,,,,,,,
3.65,-2.133,-0.145,,,,,,,,,,,,,,,,,
3.7,-2.165,-0.167,,,,,,,,,,,,,,,,,
3.75,-2.19,-0.188,,,,,,,,,,,,,,,,,
3.8,-2.205,-0.21,,,,,,,,,,,,,,,,,
3.85,-2.215,-0.229,,,,,,,,,,,,,,,,,
3.9,-2.221,-0.242,,,,,,,,,,,,,,,,,
3.95,-2.224,-0.251,,,,,,,,,,,,,,,,,
4,-2.221,-0.254,,,,,,,,,,,,,,,,,
4.05,-2.221,-0.251,,,,,,,,,,,,,,,,,
4.1,-2.218,-0.242,,,,,,,,,,,,,,,,,
4.15,-2.221,-0.229,,,,,,,,,,,,,,,,,
4.2,-2.231,-0.214,,,,,,,,,,,,,,,,,
4.25,-2.24,-0.195,,,,,,,,,,,,,,,,,
4.3,-2.262,-0.173,,,,,,,,,,,,,,,,,
4.35,-2.287,-0.151,,,,,,,,,,,,,,,,,
4.4,-2.315,-0.126,,,,,,,,,,,,,,,,,
4.45,-2.356,-0.101,,,,,,,,,,,,,,,,,
4.5,-2.4,-0.082,,,,,,,,,,,,,,,,,
4.55,-2.447,-0.063,,,,,,,,,,,,,,,,,
