"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
1.303,0.03,0.00,,,,,0.000,0.000,,,0.0000,,,0.000,,,0.0000,,
3.772,0.03,0.05,4.09E-4,0.02,,,0.050,0.000,0.031,,0.0000,7.500E-4,,0.000,-0.031,,0.0000,-7.500E-4,
4.338,0.03,0.07,0.00,0.03,0.00,0.00,0.100,0.003,0.021,-0.105,7.5000E-5,5.000E-4,-0.002,-0.003,-0.042,0.209,-7.5000E-5,-1.000E-3,0.005
6.473,0.04,0.13,0.00,0.03,-1.63E-4,0.00,0.150,0.003,0.021,-0.105,7.5000E-5,5.000E-4,-0.002,-0.006,-0.010,0.977,-1.5000E-4,-2.500E-4,0.023
6.940,0.04,0.15,0.00,0.04,0.00,-3.24E-5,0.200,0.003,0.021,-0.349,7.5000E-5,5.000E-4,-0.008,-0.006,0.063,1.571,-1.5000E-4,0.001,0.037
7.873,0.04,0.18,0.00,0.03,0.00,0.00,0.250,0.006,0.000,-0.873,1.5000E-4,0.000,-0.021,0.000,0.157,1.885,0.0000,0.004,0.045
9.142,0.03,0.22,0.00,0.04,0.00,0.02,0.300,0.006,-0.063,-1.501,1.5000E-4,-0.001,-0.036,0.009,0.262,1.850,2.2500E-4,0.006,0.044
9.775,0.03,0.27,0.00,0.07,0.01,0.01,0.350,0.000,-0.157,-2.025,0.0000,-0.004,-0.048,0.025,0.356,1.431,6.0000E-4,0.008,0.034
10.008,0.04,0.28,0.00,0.05,,,0.400,-0.009,-0.272,-2.339,-2.2500E-4,-0.006,-0.056,0.047,0.419,0.733,0.0011,0.010,0.017
12.442,0.04,0.41,,,,,0.450,-0.025,-0.398,-2.443,-6.0000E-4,-0.009,-0.058,0.069,0.429,0.035,0.0016,0.010,8.333E-4
,,,,,,,0.500,-0.050,-0.524,-2.339,-0.0012,-0.012,-0.056,0.091,0.408,-0.489,0.0022,0.010,-0.012
,,,,,,,0.550,-0.079,-0.639,-2.094,-0.0019,-0.015,-0.050,0.110,0.377,-0.908,0.0026,0.009,-0.022
,,,,,,,0.600,-0.113,-0.733,-1.780,-0.0027,-0.017,-0.042,0.129,0.325,-1.396,0.0031,0.008,-0.033
,,,,,,,0.650,-0.154,-0.817,-1.361,-0.0037,-0.019,-0.032,0.145,0.241,-1.885,0.0034,0.006,-0.045
,,,,,,,0.700,-0.195,-0.880,-0.768,-0.0046,-0.021,-0.018,0.154,0.126,-2.164,0.0037,0.003,-0.052
,,,,,,,0.750,-0.242,-0.901,-0.035,-0.0058,-0.021,-8.333E-4,0.157,0.010,-2.164,0.0037,2.500E-4,-0.052
,,,,,,,0.800,-0.289,-0.880,0.628,-0.0069,-0.021,0.015,0.154,-0.094,-2.025,0.0037,-0.002,-0.048
