Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0.05,0,0,,,,,,,,,,,,,,,,,
0.1,0.003,-0.003,,,,,,,,,,,,,,,,,
0.15,0.003,-0.006,,,,,,,,,,,,,,,,,
0.2,0.003,-0.006,,,,,,,,,,,,,,,,,
0.25,0.006,0,,,,,,,,,,,,,,,,,
0.3,0.006,0.009,,,,,,,,,,,,,,,,,
0.35,0,0.025,,,,,,,,,,,,,,,,,
0.4,-0.009,0.047,,,,,,,,,,,,,,,,,
0.45,-0.025,0.069,,,,,,,,,,,,,,,,,
0.5,-0.05,0.091,,,,,,,,,,,,,,,,,
0.55,-0.079,0.11,,,,,,,,,,,,,,,,,
0.6,-0.113,0.129,,,,,,,,,,,,,,,,,
0.65,-0.154,0.145,,,,,,,,,,,,,,,,,
0.7,-0.195,0.154,,,,,,,,,,,,,,,,,
0.75,-0.242,0.157,,,,,,,,,,,,,,,,,
0.8,-0.289,0.154,,,,,,,,,,,,,,,,,
0.85,-0.33,0.148,,,,,,,,,,,,,,,,,
0.9,-0.371,0.135,,,,,,,,,,,,,,,,,
0.95,-0.408,0.119,,,,,,,,,,,,,,,,,
1,-0.44,0.097,,,,,,,,,,,,,,,,,
1.05,-0.465,0.079,,,,,,,,,,,,,,,,,
1.1,-0.484,0.057,,,,,,,,,,,,,,,,,
1.15,-0.496,0.041,,,,,,,,,,,,,,,,,
1.2,-0.506,0.025,,,,,,,,,,,,,,,,,
1.25,-0.509,0.016,,,,,,,,,,,,,,,,,
1.3,-0.509,0.013,,,,,,,,,,,,,,,,,
1.35,-0.512,0.013,,,,,,,,,,,,,,,,,
1.4,-0.512,0.022,,,,,,,,,,,,,,,,,
1.45,-0.518,0.035,,,,,,,,,,,,,,,,,
1.5,-0.528,0.05,,,,,,,,,,,,,,,,,
1.55,-0.54,0.072,,,,,,,,,,,,,,,,,
1.6,-0.562,0.094,,,,,,,,,,,,,,,,,
1.65,-0.591,0.116,,,,,,,,,,,,,,,,,
1.7,-0.622,0.135,,,,,,,,,,,,,,,,,
1.75,-0.66,0.151,,,,,,,,,,,,,,,,,
1.8,-0.704,0.163,,,,,,,,,,,,,,,,,
1.85,-0.748,0.167,,,,,,,,,,,,,,,,,
1.9,-0.792,0.17,,,,,,,,,,,,,,,,,
1.95,-0.839,0.163,,,,,,,,,,,,,,,,,
2,-0.88,0.154,,,,,,,,,,,,,,,,,
2.05,-0.92,0.141,,,,,,,,,,,,,,,,,
2.1,-0.955,0.123,,,,,,,,,,,,,,,,,
2.15,-0.986,0.104,,,,,,,,,,,,,,,,,
2.2,-1.008,0.082,,,,,,,,,,,,,,,,,
2.25,-1.024,0.066,,,,,,,,,,,,,,,,,
2.3,-1.037,0.05,,,,,,,,,,,,,,,,,
2.35,-1.043,0.038,,,,,,,,,,,,,,,,,
2.4,-1.049,0.031,,,,,,,,,,,,,,,,,
2.45,-1.049,0.028,,,,,,,,,,,,,,,,,
2.5,-1.052,0.035,,,,,,,,,,,,,,,,,
2.55,-1.056,0.044,,,,,,,,,,,,,,,,,
2.6,-1.065,0.06,,,,,,,,,,,,,,,,,
2.65,-1.078,0.079,,,,,,,,,,,,,,,,,
2.7,-1.096,0.097,,,,,,,,,,,,,,,,,
2.75,-1.118,0.119,,,,,,,,,,,,,,,,,
2.8,-1.15,0.138,,,,,,,,,,,,,,,,,
2.85,-1.184,0.157,,,,,,,,,,,,,,,,,
2.9,-1.225,0.17,,,,,,,,,,,,,,,,,
2.95,-1.269,0.179,,,,,,,,,,,,,,,,,
3,-1.313,0.182,,,,,,,,,,,,,,,,,
3.05,-1.357,0.182,,,,,,,,,,,,,,,,,
3.1,-1.401,0.176,,,,,,,,,,,,,,,,,
3.15,-1.442,0.163,,,,,,,,,,,,,,,,,
3.2,-1.48,0.148,,,,,,,,,,,,,,,,,
3.25,-1.511,0.129,,,,,,,,,,,,,,,,,
3.3,-1.539,0.11,,,,,,,,,,,,,,,,,
3.35,-1.561,0.094,,,,,,,,,,,,,,,,,
3.4,-1.574,0.075,,,,,,,,,,,,,,,,,
3.45,-1.587,0.063,,,,,,,,,,,,,,,,,
3.5,-1.59,0.053,,,,,,,,,,,,,,,,,
3.55,-1.596,0.05,,,,,,,,,,,,,,,,,
3.6,-1.599,0.053,,,,,,,,,,,,,,,,,
3.65,-1.602,0.06,,,,,,,,,,,,,,,,,
3.7,-1.608,0.072,,,,,,,,,,,,,,,,,
3.75,-1.618,0.088,,,,,,,,,,,,,,,,,
3.8,-1.634,0.107,,,,,,,,,,,,,,,,,
3.85,-1.656,0.126,,,,,,,,,,,,,,,,,
3.9,-1.684,0.148,,,,,,,,,,,,,,,,,
3.95,-1.712,0.167,,,,,,,,,,,,,,,,,
4,-1.75,0.182,,,,,,,,,,,,,,,,,
4.05,-1.791,0.192,,,,,,,,,,,,,,,,,
4.1,-1.835,0.198,,,,,,,,,,,,,,,,,
4.15,-1.879,0.201,,,,,,,,,,,,,,,,,
4.2,-1.92,0.195,,,,,,,,,,,,,,,,,
4.25,-1.963,0.188,,,,,,,,,,,,,,,,,
4.3,-2.001,0.176,,,,,,,,,,,,,,,,,
4.35,-2.036,0.16,,,,,,,,,,,,,,,,,
4.4,-2.064,0.141,,,,,,,,,,,,,,,,,
4.45,-2.089,0.126,,,,,,,,,,,,,,,,,
4.5,-2.108,0.107,,,,,,,,,,,,,,,,,
4.55,-2.121,0.091,,,,,,,,,,,,,,,,,
4.6,-2.13,0.082,,,,,,,,,,,,,,,,,
4.65,-2.136,0.072,,,,,,,,,,,,,,,,,
4.7,-2.139,0.072,,,,,,,,,,,,,,,,,
