Description	
Number of Runs	31
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	60	30	04/04/24 05:17:09 PM	
2	900	7426	30	04/04/24 05:23:03 PM	
3	900	6652	30	04/04/24 05:23:34 PM	
4	900	5763	30	04/04/24 05:24:04 PM	
5	900	5130	30	04/04/24 05:24:34 PM	
6	900	4581	30	04/04/24 05:25:05 PM	
7	900	3978	30	04/04/24 05:25:35 PM	
8	900	3587	30	04/04/24 05:26:05 PM	
9	900	3114	30	04/04/24 05:26:36 PM	
10	900	2802	30	04/04/24 05:27:06 PM	
11	900	2411	30	04/04/24 05:27:36 PM	
12	900	2110	30	04/04/24 05:28:07 PM	
13	900	1836	30	04/04/24 05:28:37 PM	
14	900	1577	30	04/04/24 05:29:07 PM	
15	900	1408	30	04/04/24 05:29:38 PM	
16	900	1303	30	04/04/24 05:30:08 PM	
17	900	1092	30	04/04/24 05:30:38 PM	
18	900	997	30	04/04/24 05:31:09 PM	
19	900	850	30	04/04/24 05:31:39 PM	
20	900	786	30	04/04/24 05:32:10 PM	
21	900	664	30	04/04/24 05:32:40 PM	
22	900	586	30	04/04/24 05:33:10 PM	
23	900	565	30	04/04/24 05:33:41 PM	
24	900	473	30	04/04/24 05:34:11 PM	
25	900	416	30	04/04/24 05:34:41 PM	
26	900	396	30	04/04/24 05:35:12 PM	
27	900	337	30	04/04/24 05:35:42 PM	
28	900	323	30	04/04/24 05:36:12 PM	
29	900	293	30	04/04/24 05:36:43 PM	
30	900	244	30	04/04/24 05:37:13 PM	
31	900	219	30	04/04/24 05:37:43 PM	
32	900	222	30	04/04/24 05:38:14 PM	
