Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1059	1	04/04/24 12:08:26 PM	
2	900	1050	1	04/04/24 12:08:28 PM	
3	900	1053	1	04/04/24 12:08:29 PM	
4	900	1089	1	04/04/24 12:08:30 PM	
5	900	1068	1	04/04/24 12:08:31 PM	
6	900	1086	1	04/04/24 12:08:32 PM	
7	900	1117	1	04/04/24 12:08:33 PM	
8	900	1072	1	04/04/24 12:08:34 PM	
9	900	1068	1	04/04/24 12:08:36 PM	
10	900	1057	1	04/04/24 12:08:37 PM	
11	900	1052	1	04/04/24 12:08:38 PM	
12	900	1052	1	04/04/24 12:08:39 PM	
13	900	1058	1	04/04/24 12:08:40 PM	
14	900	1085	1	04/04/24 12:08:41 PM	
15	900	1095	1	04/04/24 12:08:42 PM	
16	900	1080	1	04/04/24 12:08:44 PM	
17	900	1018	1	04/04/24 12:08:45 PM	
18	900	1093	1	04/04/24 12:08:46 PM	
19	900	1066	1	04/04/24 12:08:47 PM	
20	900	1074	1	04/04/24 12:08:48 PM	
21	900	1034	1	04/04/24 12:08:49 PM	
22	900	1040	1	04/04/24 12:08:51 PM	
23	900	1078	1	04/04/24 12:08:52 PM	
24	900	1112	1	04/04/24 12:08:53 PM	
25	900	1086	1	04/04/24 12:08:54 PM	
26	900	1077	1	04/04/24 12:08:55 PM	
27	900	1066	1	04/04/24 12:08:56 PM	
28	900	1070	1	04/04/24 12:08:57 PM	
29	900	1066	1	04/04/24 12:08:59 PM	
30	900	1074	1	04/04/24 12:09:00 PM	
31	900	1044	1	04/04/24 12:09:01 PM	
32	900	1048	1	04/04/24 12:09:02 PM	
33	900	1046	1	04/04/24 12:09:03 PM	
34	900	1078	1	04/04/24 12:09:04 PM	
35	900	1081	1	04/04/24 12:09:05 PM	
36	900	1060	1	04/04/24 12:09:07 PM	
37	900	1095	1	04/04/24 12:09:08 PM	
38	900	1087	1	04/04/24 12:09:09 PM	
39	900	1016	1	04/04/24 12:09:10 PM	
40	900	1072	1	04/04/24 12:09:11 PM	
41	900	1036	1	04/04/24 12:09:12 PM	
42	900	1034	1	04/04/24 12:09:14 PM	
43	900	1083	1	04/04/24 12:09:15 PM	
44	900	1074	1	04/04/24 12:09:16 PM	
45	900	1092	1	04/04/24 12:09:17 PM	
46	900	1045	1	04/04/24 12:09:18 PM	
47	900	1072	1	04/04/24 12:09:19 PM	
48	900	1067	1	04/04/24 12:09:20 PM	
49	900	1073	1	04/04/24 12:09:22 PM	
50	900	1050	1	04/04/24 12:09:23 PM	
51	900	1050	1	04/04/24 12:09:24 PM	
52	900	1049	1	04/04/24 12:09:25 PM	
53	900	1072	1	04/04/24 12:09:26 PM	
54	900	1072	1	04/04/24 12:09:27 PM	
55	900	1090	1	04/04/24 12:09:28 PM	
56	900	1069	1	04/04/24 12:09:30 PM	
57	900	1117	1	04/04/24 12:09:31 PM	
58	900	1068	1	04/04/24 12:09:32 PM	
59	900	1056	1	04/04/24 12:09:33 PM	
60	900	1076	1	04/04/24 12:09:34 PM	
61	900	1104	1	04/04/24 12:09:35 PM	
62	900	1031	1	04/04/24 12:09:37 PM	
63	900	1059	1	04/04/24 12:09:38 PM	
64	900	1047	1	04/04/24 12:09:39 PM	
65	900	1068	1	04/04/24 12:09:40 PM	
66	900	1063	1	04/04/24 12:09:41 PM	
67	900	1067	1	04/04/24 12:09:42 PM	
68	900	1089	1	04/04/24 12:09:43 PM	
69	900	1116	1	04/04/24 12:09:45 PM	
70	900	1058	1	04/04/24 12:09:46 PM	
71	900	1069	1	04/04/24 12:09:47 PM	
72	900	1114	1	04/04/24 12:09:48 PM	
73	900	1078	1	04/04/24 12:09:49 PM	
74	900	1089	1	04/04/24 12:09:50 PM	
75	900	1050	1	04/04/24 12:09:51 PM	
76	900	1082	1	04/04/24 12:09:53 PM	
77	900	1084	1	04/04/24 12:09:54 PM	
78	900	1079	1	04/04/24 12:09:55 PM	
79	900	1048	1	04/04/24 12:09:56 PM	
80	900	1085	1	04/04/24 12:09:57 PM	
81	900	1054	1	04/04/24 12:09:58 PM	
82	900	1076	1	04/04/24 12:09:59 PM	
83	900	1055	1	04/04/24 12:10:01 PM	
84	900	1057	1	04/04/24 12:10:02 PM	
85	900	1033	1	04/04/24 12:10:03 PM	
86	900	1072	1	04/04/24 12:10:04 PM	
87	900	1100	1	04/04/24 12:10:05 PM	
88	900	1059	1	04/04/24 12:10:06 PM	
89	900	1059	1	04/04/24 12:10:07 PM	
90	900	1053	1	04/04/24 12:10:09 PM	
91	900	1128	1	04/04/24 12:10:10 PM	
92	900	1085	1	04/04/24 12:10:11 PM	
93	900	1065	1	04/04/24 12:10:12 PM	
94	900	1085	1	04/04/24 12:10:13 PM	
95	900	1060	1	04/04/24 12:10:14 PM	
96	900	1075	1	04/04/24 12:10:16 PM	
97	900	1085	1	04/04/24 12:10:17 PM	
98	900	1062	1	04/04/24 12:10:18 PM	
99	900	1056	1	04/04/24 12:10:19 PM	
100	900	1067	1	04/04/24 12:10:20 PM	
101	900	1054	1	04/04/24 12:10:21 PM	
102	900	1066	1	04/04/24 12:10:22 PM	
103	900	1046	1	04/04/24 12:10:24 PM	
104	900	1075	1	04/04/24 12:10:25 PM	
105	900	1088	1	04/04/24 12:10:26 PM	
106	900	1077	1	04/04/24 12:10:27 PM	
107	900	1061	1	04/04/24 12:10:28 PM	
108	900	1079	1	04/04/24 12:10:29 PM	
109	900	1058	1	04/04/24 12:10:30 PM	
110	900	1068	1	04/04/24 12:10:32 PM	
111	900	1086	1	04/04/24 12:10:33 PM	
112	900	1042	1	04/04/24 12:10:34 PM	
113	900	1080	1	04/04/24 12:10:35 PM	
114	900	1098	1	04/04/24 12:10:36 PM	
115	900	1081	1	04/04/24 12:10:37 PM	
116	900	1085	1	04/04/24 12:10:39 PM	
117	900	1059	1	04/04/24 12:10:40 PM	
118	900	1081	1	04/04/24 12:10:41 PM	
119	900	1026	1	04/04/24 12:10:42 PM	
120	900	1105	1	04/04/24 12:10:43 PM	
121	900	1049	1	04/04/24 12:10:44 PM	
122	900	1078	1	04/04/24 12:10:45 PM	
123	900	1053	1	04/04/24 12:10:47 PM	
124	900	1062	1	04/04/24 12:10:48 PM	
125	900	1081	1	04/04/24 12:10:49 PM	
126	900	1087	1	04/04/24 12:10:50 PM	
127	900	1079	1	04/04/24 12:10:51 PM	
128	900	1095	1	04/04/24 12:10:52 PM	
129	900	1068	1	04/04/24 12:10:53 PM	
130	900	1066	1	04/04/24 12:10:55 PM	
131	900	1065	1	04/04/24 12:10:56 PM	
132	900	1097	1	04/04/24 12:10:57 PM	
133	900	1053	1	04/04/24 12:10:58 PM	
134	900	1071	1	04/04/24 12:10:59 PM	
135	900	1030	1	04/04/24 12:11:00 PM	
136	900	1062	1	04/04/24 12:11:02 PM	
137	900	1038	1	04/04/24 12:11:03 PM	
138	900	1068	1	04/04/24 12:11:04 PM	
139	900	1049	1	04/04/24 12:11:05 PM	
140	900	1077	1	04/04/24 12:11:06 PM	
141	900	1066	1	04/04/24 12:11:07 PM	
142	900	1059	1	04/04/24 12:11:08 PM	
143	900	1045	1	04/04/24 12:11:10 PM	
144	900	1142	1	04/04/24 12:11:11 PM	
145	900	1070	1	04/04/24 12:11:12 PM	
146	900	1053	1	04/04/24 12:11:13 PM	
147	900	1104	1	04/04/24 12:11:14 PM	
148	900	1069	1	04/04/24 12:11:15 PM	
149	900	1088	1	04/04/24 12:11:16 PM	
150	900	1081	1	04/04/24 12:11:18 PM	
151	900	1067	1	04/04/24 12:11:19 PM	
152	900	1049	1	04/04/24 12:11:20 PM	
153	900	1082	1	04/04/24 12:11:21 PM	
154	900	1094	1	04/04/24 12:11:22 PM	
155	900	1055	1	04/04/24 12:11:23 PM	
156	900	1062	1	04/04/24 12:11:24 PM	
157	900	1082	1	04/04/24 12:11:26 PM	
158	900	1100	1	04/04/24 12:11:27 PM	
159	900	1124	1	04/04/24 12:11:28 PM	
160	900	1074	1	04/04/24 12:11:29 PM	
161	900	1030	1	04/04/24 12:11:30 PM	
162	900	1038	1	04/04/24 12:11:31 PM	
163	900	1082	1	04/04/24 12:11:33 PM	
164	900	1065	1	04/04/24 12:11:34 PM	
165	900	1046	1	04/04/24 12:11:35 PM	
166	900	1060	1	04/04/24 12:11:36 PM	
167	900	1074	1	04/04/24 12:11:37 PM	
168	900	1076	1	04/04/24 12:11:38 PM	
169	900	1103	1	04/04/24 12:11:39 PM	
170	900	1056	1	04/04/24 12:11:41 PM	
171	900	1101	1	04/04/24 12:11:42 PM	
172	900	1073	1	04/04/24 12:11:43 PM	
173	900	1057	1	04/04/24 12:11:44 PM	
174	900	1092	1	04/04/24 12:11:45 PM	
175	900	1093	1	04/04/24 12:11:46 PM	
176	900	1086	1	04/04/24 12:11:47 PM	
177	900	1073	1	04/04/24 12:11:49 PM	
178	900	1091	1	04/04/24 12:11:50 PM	
179	900	1062	1	04/04/24 12:11:51 PM	
180	900	1063	1	04/04/24 12:11:52 PM	
181	900	1055	1	04/04/24 12:11:53 PM	
182	900	1071	1	04/04/24 12:11:54 PM	
183	900	1080	1	04/04/24 12:11:55 PM	
184	900	1061	1	04/04/24 12:11:57 PM	
185	900	1073	1	04/04/24 12:11:58 PM	
186	900	1027	1	04/04/24 12:11:59 PM	
187	900	1100	1	04/04/24 12:12:00 PM	
188	900	1089	1	04/04/24 12:12:01 PM	
189	900	1085	1	04/04/24 12:12:02 PM	
190	900	1060	1	04/04/24 12:12:04 PM	
191	900	1088	1	04/04/24 12:12:05 PM	
192	900	1094	1	04/04/24 12:12:06 PM	
193	900	1097	1	04/04/24 12:12:07 PM	
194	900	1062	1	04/04/24 12:12:08 PM	
195	900	1069	1	04/04/24 12:12:09 PM	
196	900	1070	1	04/04/24 12:12:10 PM	
197	900	1061	1	04/04/24 12:12:12 PM	
198	900	1050	1	04/04/24 12:12:13 PM	
199	900	1057	1	04/04/24 12:12:14 PM	
200	900	1052	1	04/04/24 12:12:15 PM	
201	900	1070	1	04/04/24 12:12:16 PM	
202	900	1077	1	04/04/24 12:12:17 PM	
203	900	1038	1	04/04/24 12:12:18 PM	
204	900	1079	1	04/04/24 12:12:20 PM	
205	900	1081	1	04/04/24 12:12:21 PM	
206	900	1110	1	04/04/24 12:12:22 PM	
207	900	1091	1	04/04/24 12:12:23 PM	
208	900	1088	1	04/04/24 12:12:24 PM	
209	900	1063	1	04/04/24 12:12:25 PM	
210	900	1105	1	04/04/24 12:12:26 PM	
211	900	1055	1	04/04/24 12:12:28 PM	
212	900	1063	1	04/04/24 12:12:29 PM	
213	900	1071	1	04/04/24 12:12:30 PM	
214	900	1071	1	04/04/24 12:12:31 PM	
215	900	1090	1	04/04/24 12:12:32 PM	
216	900	1144	1	04/04/24 12:12:33 PM	
217	900	1077	1	04/04/24 12:12:35 PM	
218	900	1100	1	04/04/24 12:12:36 PM	
219	900	1108	1	04/04/24 12:12:37 PM	
220	900	1065	1	04/04/24 12:12:38 PM	
221	900	1065	1	04/04/24 12:12:39 PM	
222	900	1045	1	04/04/24 12:12:40 PM	
223	900	1075	1	04/04/24 12:12:41 PM	
224	900	1067	1	04/04/24 12:12:43 PM	
225	900	1077	1	04/04/24 12:12:44 PM	
226	900	1080	1	04/04/24 12:12:45 PM	
227	900	1088	1	04/04/24 12:12:46 PM	
228	900	1098	1	04/04/24 12:12:47 PM	
229	900	1066	1	04/04/24 12:12:48 PM	
230	900	1069	1	04/04/24 12:12:49 PM	
231	900	1054	1	04/04/24 12:12:51 PM	
232	900	1040	1	04/04/24 12:12:52 PM	
233	900	1086	1	04/04/24 12:12:53 PM	
234	900	1083	1	04/04/24 12:12:54 PM	
235	900	1085	1	04/04/24 12:12:55 PM	
236	900	1062	1	04/04/24 12:12:56 PM	
237	900	1061	1	04/04/24 12:12:57 PM	
238	900	1064	1	04/04/24 12:12:59 PM	
239	900	1044	1	04/04/24 12:13:00 PM	
240	900	1105	1	04/04/24 12:13:01 PM	
241	900	1045	1	04/04/24 12:13:02 PM	
242	900	1082	1	04/04/24 12:13:03 PM	
243	900	1110	1	04/04/24 12:13:04 PM	
244	900	1067	1	04/04/24 12:13:06 PM	
245	900	1092	1	04/04/24 12:13:07 PM	
