Description	
Number of Runs	0
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	148	30	04/04/24 04:31:01 PM	
2	900	30542	30	04/04/24 04:31:50 PM	
3	900	21105	30	04/04/24 04:32:29 PM	
4	900	14417	30	04/04/24 04:33:07 PM	
5	900	10121	30	04/04/24 04:33:45 PM	
6	900	7534	30	04/04/24 04:34:23 PM	
7	900	5673	30	04/04/24 04:35:06 PM	
8	900	4375	30	04/04/24 04:35:44 PM	
9	900	3690	30	04/04/24 04:36:20 PM	
10	900	3012	30	04/04/24 04:37:03 PM	
11	900	2518	30	04/04/24 04:37:39 PM	
