Description	
Number of Runs	0
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	171	60	04/04/24 04:53:27 PM	
2	900	9617	60	04/04/24 04:54:36 PM	
3	900	10989	60	04/04/24 04:58:05 PM	
4	900	10939	60	04/04/24 04:59:32 PM	
5	900	12099	60	04/04/24 05:00:51 PM	
6	900	12333	60	04/04/24 05:02:16 PM	
7	900	11976	60	04/04/24 05:03:36 PM	
8	900	12013	60	04/04/24 05:04:50 PM	
9	900	11939	60	04/04/24 05:06:52 PM	
10	900	11677	60	04/04/24 05:08:42 PM	
11	900	11077	60	04/04/24 05:11:43 PM	
12	900	11368	60	04/04/24 05:13:04 PM	
13	900	11128	60	04/04/24 05:14:25 PM	
