Description	
Number of Runs	26
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	11707	30	04/04/24 11:36:20 AM	
2	720	18484	30	04/04/24 11:37:15 AM	
3	740	20803	30	04/04/24 11:37:46 AM	
4	760	23821	30	04/04/24 11:38:16 AM	
5	780	25616	30	04/04/24 11:38:46 AM	
6	800	27640	30	04/04/24 11:39:17 AM	
7	820	28639	30	04/04/24 11:39:47 AM	
8	840	30135	30	04/04/24 11:40:17 AM	
9	860	31106	30	04/04/24 11:40:48 AM	
10	880	32405	30	04/04/24 11:41:18 AM	
11	900	33175	30	04/04/24 11:41:48 AM	
12	920	34173	30	04/04/24 11:42:19 AM	
13	940	35061	30	04/04/24 11:42:49 AM	
14	960	36339	30	04/04/24 11:43:20 AM	
15	980	37202	30	04/04/24 11:43:50 AM	
16	1000	38720	30	04/04/24 11:44:20 AM	
17	1020	39259	30	04/04/24 11:44:51 AM	
18	1040	41976	30	04/04/24 11:45:21 AM	
19	1060	42670	30	04/04/24 11:45:51 AM	
20	1080	43874	30	04/04/24 11:46:22 AM	
21	1100	45260	30	04/04/24 11:46:52 AM	
22	1120	47680	30	04/04/24 11:47:23 AM	
23	1140	48323	30	04/04/24 11:47:53 AM	
24	1160	49341	30	04/04/24 11:48:23 AM	
25	1180	50444	30	04/04/24 11:48:54 AM	
26	1200	52485	30	04/04/24 11:49:24 AM	
